ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,Cost Benefit Report PDF,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Mining Date of Issue,Mining Date of Validity,Mining Other Info,Mining Status of Approval,Mining Estimated Reserve Names,Mining Estimated Reserve FL,Mining Estimated Reserve NFL,Mining Proved Reserves,Mining Indicated Reserves,Mining Inferred Reserves,Mining Mineable Reserves,Mining Approved Life of Mine,Mining Approving Authority Name,Mining Life of Mine Other Info,Mining Type of Mining,Mining Method of Mining,Mining Type of Mining Other Info,Mining Blasting Other Info,Mining External Dumping Remarks,Mining Internal Dumping Remarks,Mining Topsoil Dumping Remarks,Mining Total Quarry Area,Mining Quarry Other Info,Mining Transportation Mode From Pithead,Mining Transportation Mode From Loading,Mining Transportation Mode Other Info,Mining Plantation Area,Mining Water Body,Mining Public Use,Mining Other Use,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Forest Clearance Present Owners,Plot Number,District,Project Description,Employment (Operational),proposal_url,Village Code,Employment (Construction),KML URLs
133695074,New,FP/JK/CommPost/547505/2025,2025-08-08T07:40:39.597+00:00,,Pending at DFO for Scrutiny and Recommendation,0.02,24.0,MAHESH NAIR,,Forest clearance form,,,,4G Saturation Project Her-Bohrihalan,JAMMU AND KASHMIR,Shopian,Hir Pora,,,,Non - Linear,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-08T08:12:43.490+00:00,,,Degraded Forest Land,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"General Manager Telecom, BSNL Bhavan, Thiruvalla ",,1,"Central PSU (eg. NHAI, AAI, NTP, CIL, SAIL)",AGM  BSS TLA,,1,,,Shupiyan,"CONSTRUCTION OF PROPOSED 4G MOBILE TOWER  AT VILLAGE NAME HER-BOHRIHALAN;BTS ID - UVJKSRG00408 SUB DISTT. SHOPIAN, DISTT. SHOPIAN",365.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133695074,003496,365.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133694696&refType=caf&uuid=4dffb079-8440-4c73-bdd5-209fedc5f08f&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=133694696&refType=FC&uuid=9444d603-602b-4e01-927f-5a80e8964b87&version=1.0
133691304,New,IA/JK/RIV/547496/2025,2025-08-08T07:06:32.299+00:00,,Under Examination,1401.35,220000000000.0,NHPC LMITED,,Application for Transfer of ToR - Form-8,OTHER,A,,Sawalkot HE Project (1856 MW),JAMMU AND KASHMIR,Ramban,Bhajmasta,J-12011/19/2011-IA-I,,,Hybrid,554.18,847.17,1401.35,0.0,0.0,0.0,0.0,0.0,112,1477,1477,NO,NA,NO,NO,NO,2025-08-12T10:11:50.719+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramban,"Sawalkote HE Project, Ramban",3600000.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133691304,004551,3600000.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133223177&refType=caf&uuid=5bde3d0e-02fb-42bb-af98-04312275fac6&version=1.0
133632958,New,FP/JK/CommPost/547442/2025,2025-08-07T12:18:51.680+00:00,,Pending at DFO for Scrutiny and Recommendation,0.02,24.0,MAHESH NAIR,,Forest clearance form,,,,4G Saturation Project Bohrihalan,JAMMU AND KASHMIR,Shopian,Hir Pora,,,,Non - Linear,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-07T12:44:25.246+00:00,,,Degraded Forest Land,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"General Manager Telecom, BSNL Bhavan, Thiruvalla ",,1,"Central PSU (eg. NHAI, AAI, NTP, CIL, SAIL)",AGM  BSS TLA,,1,,,Shupiyan,"CONSTRUCTION OF PROPOSED 4G MOBILE TOWER  AT VILLAGE NAME BOHRIHALAN;BTS ID - UVJKSRG00405 SUB DISTT. SHOPIAN, DISTT. SHOPIAN",365.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133632958,003496,365.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133632246&refType=caf&uuid=c6d1dcde-ce2c-4ad1-9451-0cb65a391c6e&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=133632246&refType=FC&uuid=18af271c-8e77-4d63-94b6-174067c25c11&version=1.0
133527211,New,WL/JK/TRANS/547237/2025,2025-08-06T08:05:00.440+00:00,,,3.45,306.0, JAMMU AND KASHMIR STATE POWER TRANSMISSION COMPANY LIMITED,,Wildlife clearance form,,,,Re-alignment of 132 KV D/C Gladni- Nagrota Line due to widening of NH-44 (Dellhi -Katra Express Way),JAMMU AND KASHMIR,Jammu,Rakh Bahu (OG),,,,Linear,0.0,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-06T08:49:35.559+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jammu,Re-alignment of 132 KV D/C Gladni- Nagrota Line due to widening of NH-44 (Dellhi -Katra Express Way) at Narwal Jammu,2500.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133527211,005974,250000.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133526452&refType=caf&uuid=e56164fd-1047-4639-aeac-70af986539a4&version=1.0
133437092,New,SIA/JK/MIN/547103/2025,2025-08-05T06:35:04.713+00:00,,EDS raised,4.27,310.0,MUSHTAQ UL ISLAM,,Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 ,EC,B2,,Nallah bed mining,JAMMU AND KASHMIR,Kulgam,Brazlo,,, 22,Hybrid,4.27,0.0,4.27,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-05T12:18:05.755+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minor Mineral Block no.-22, V-Brazlo Bridge Downstream Vishu Nallah, District-Kulgam ","",1,Others,Owner,,1,, 22,Kulgam,"This is a project for mining by manual and minimally supported by opencast semi mechanized method with helping of JCB, Hywa, Excavator, Dumper etc. The proposed average production is 37,973.12 MT (Max) and the estimated project cost is 3.10 Crores. The lessee is Mr. Mushtaq Ul Islam S/o Shri Mohiud Din Bhat  for mining lease of Nallah Bed Mining over an area of 4.27 Ha Village: Brazloo Tehsil & District: Kulgam U.T.: Jammu & Kashmir;",2717.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133437092,0,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132060362&refType=caf&uuid=0803c5bd-36d6-438d-a846-0eb9f0ef42c3&version=1.0
133120577,New,FP/JK/ROAD/546618/2025,2025-07-31T05:54:58.328+00:00,,Pending at UA for DFO EDS Reply,5.0,3.0,Abdul Rashid Ahangar,,Forest clearance form,,,,Improvement of Inner links at different spots at Pahiwar Rampora,JAMMU AND KASHMIR,Sopore,Rampora Rajpur,,,Pahiwar,Linear,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-31T06:04:15.130+00:00,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Office Zaingeer,Pahiwar Rampora,1,State Government (Department/Autonomous body),Block Development Officer,Zaingeer Dangarpora,1,,Pahiwar,Baramula,Improvement of inner links in the village Pahiwar,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133120577,002182,501.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132679513&refType=caf&uuid=2e526768-c345-4a1b-93f1-f8587614b81d&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=132679513&refType=FC&uuid=73fa6fec-a604-4fb3-b8e0-ffddb261e999&version=1.0
133102274,New,FP/JK/WATER/546597/2025,2025-07-30T16:10:00.946+00:00,,Pending at UA for DFO EDS Reply,0.35,631.6,JAL SHAKTI DEPARTMENT PHE KASHMIR,,Forest clearance form,,,,Water Supply Scheme Chantan Gulabpora Waliwar,JAMMU AND KASHMIR,Lar,Chanthan Gulab Pora,,,,Hybrid,0.1,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-02T10:35:52.799+00:00,,,Degraded Forest Land,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Executive Engineer,;Rural Water Supply Division,;Ganderbal.;Hq at Duderhama PHE, Jal Shakti department Kashmir;Hq at Duderhama -191201",Chanthan,1,State Government (Department/Autonomous body),Executive Engineer,,1,,,Ganderbal,"WSS Chanthan Gulabpora Waliwar is a lift type water supply scheme having 400 mm common raw water mains as source, consisting of 0.15 MGD Rapid Sand Filtration Plant, 60,000 Gallons RCC Clear Water Sump and 75000 Gallons RCC Service Reservoir along with electromechanical system, pumping equipment, rising mains and mains/distribution network. It is intended to provide drinking water supply to nearly 15816 souls as per its design period in Chanthan and adjoining areas of Block Bar of District Ganderbal.",0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133102274,002846,10500.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133032926&refType=caf&uuid=378cef26-0324-4e0e-834d-de8ed2fb94bb&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=133032926&refType=FC&uuid=5fbe93ce-87a9-4591-bdc8-7a04ae88d94a&version=1.1
133019165,New,SIA/JK/INFRA2/546457/2025,2025-07-29T11:49:02.395+00:00,,Under Verification,8.0937,78.0,AREESHA ROYAL HOSPITAL PRIVATE LIMITED,,Environment clearance form,TOR,B2,Building / Construction ,Areesha Royal Hospital Pvt Ltd.,JAMMU AND KASHMIR,Billawar,Tilla,,,,Non - Linear,8.0937,0.0,8.0937,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-12T12:41:50.160+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kathua,"The establishment of a 500-bed hospital,, and the concurrent establishment;of an associated 100-seater medical college in the picturesque region of;Kashmir",0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133019165,001698,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133017024&refType=caf&uuid=5b9e3a39-1a28-4f14-b14d-e43f3cfcd54a&version=1.0
132774054,New,FP/JK/ROAD/545953/2025,2025-07-25T08:44:29.481+00:00,,Pending at DFO for Scrutiny and Recommendation,2.6998,185.21,OFFICE OF THE EXECUTIVE ENGINEER PWD R&B DIVISION BILLAWAR,,Forest clearance form,,,,UP-gradation of road from Dhamlar to Dhar dugnoo via huttar.,JAMMU AND KASHMIR,Basohli,Dhamlar,,,,Linear,0.4968,2.203,2.6998,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-06T18:30:00.000+00:00,,,Degraded Forest Land,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PWD rest office,Near Busstand Billawar",Billawar,1,State Government (Department/Autonomous body),Executive Engineer,,1,,,Kathua,"This link road is being upgraded as it connects 5 villages i.e dhamlar,niali,plail,huttar,gayali benfiting a population of more than 20000.",12775.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132774054,001694,14380.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132769017&refType=caf&uuid=dc187fbf-7e49-494e-a13a-c400cc592d51&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=132769017&refType=FC&uuid=f3edcd2a-8e50-4352-9d21-eac73cc2eae3&version=1.0
132763517,New,FP/JK/OTHERS/545933/2025,2025-07-25T06:53:48.593+00:00,,Pending at UA for DFO EDS Reply,0.0009,3880076.0,EE CHENAB DIVISION CWC,,Forest clearance form,,,,Installation of Automatic bank operated cableway across river Chenab at Akhnoor District Jammu,JAMMU AND KASHMIR,Jammu,Anmbaran,,,Khasra No. 1405,Linear,0.0,0.0009,0.0009,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-25T07:12:14.075+00:00,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Central Water Commission, Jal Aayog Bhawan, Rajinder Nagar Phase-I, Bantalab, Jammu",,1,Central Government (Department/Autonomous body),Executive Engineer,,1,,Khasra No. 1405,Jammu,Installation of an Automatic bank operated cableway across river Chenab at Akhnoor District Jammu,18250.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132763517,0,10.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132761770&refType=caf&uuid=a1597945-d913-4cec-b671-e598e22ed99e&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=132761770&refType=FC&uuid=05440785-e206-4e75-8f83-a23f2a57a7f4&version=1.0
