ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Cost Benefit Report PDF,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,KML URLs,Plot Number,District,Employment (Operational),Village Code,Project Description,proposal_url,Employment (Construction)
133369105,Expansion,FP/SK/ROAD/546980/2025,2025-08-04T07:49:35.866+00:00,,Pending at MS for Acceptance in PSC-I,41.419,138200.0,NATIONAL HIGHWAYS & INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,,Forest clearance form,,,,"Widening of existing carriageway into 2 lanes with paved shoulder configuration and Several Slope Protection works, treatment of vulnerable sliding/ sinking zones, Improvement of Safety and sustainable of NH network by incorporating Bypasses, Viaducts Brides Tunnels etc. along NH-10 from Km 52.00 (Rangpo) to Km. 80.00 (Ranipool) in the State of Sikkim",SIKKIM,Namchi,Tarku,,,,Linear,41.419,0.0,41.419,1.3,10.5634,11.8634,82200.0,56000.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-07T08:05:18.219+00:00,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=59020&refId=133369104&refType=fc&uuid=59dafc86-cd84-4a5f-90d8-40dcb7fd8438&version=1.0,Degraded Forest Land,true,"Tower - A, World Trade Centre, Nauroji Nagar, New Delhi",,7,"Central PSU (eg. NHAI, AAI, NTP, CIL, SAIL)",General Manager (Projects),,11,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133362795&refType=caf&uuid=0069fd78-97d3-4a59-aa7a-2ce80ca4cde9&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=133362795&refType=FC&uuid=9ac1645a-ea50-4689-9447-afa9b1159a8f&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=133362795&refType=FC&uuid=6f6ed27f-880b-4f42-9df1-343fc82d4acc&version=1.0,,South District,0.0,261184,"The Government of india acting through the Regional Office (RO) Gangtok Sikkim, National Highways and Infrastructure Development Corporation Limited (NHIDCI), (The ""Authority"") is engaged in the development of National Highways and Highways of National & Strategic importance to the country. As part of this endeavor, the Authority has decided to undertake preparation of DPR and pre construction activities. The project starts at 52+000 KM at the Rangpo in the State of Sikkim on NH-10 and Ends at the 80+000 KM on NH-10 at Ranipool in the State of Sikkim. The Entire Project lies in Pakyong and Gangtok Districts of the State of Sikkim. The project road follows the NH-10 which connect the State Capital Gangtok to the southern Part of the State as well as West Bengal. NH-10 is a National Highway that passes through the Indian state of Sikkim. It is a critical road that connects the capital city of Gangtok to the rest of the country. The highway starts at the Sikkim-West Bengal border.",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133369105,133362.0
133227443,New,FP/SK/ROAD/546795/2025,2025-08-01T10:35:56.550+00:00,,Pending at DFO for Scrutiny and Recommendation,2.4,178.17,Public Works Department,,Forest clearance form,,,,"Diversion of forest land for construction of Road from Temi Damthang Road (NH710) to Ganghung village under Rabong Sub-Division, Namchi District by R&B Deptt. GoS_",SIKKIM,Namchi,Temi,,,1.7016 Ha Temi Block,Linear,0.6984,1.7016,2.4,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-01T10:51:09.923+00:00,,Degraded Forest Land,true,"Road and Bridges Department, PWD, Namchi , Sikkim",Namchi,11,State Government (Department/Autonomous body),Divisional Engineer,Namchi,11,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133224185&refType=caf&uuid=43663f98-ea90-45a1-9627-04b0bbc0e7b8&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=133224185&refType=FC&uuid=9b00c45b-e3df-45d7-b96e-2da3d5e4cd7e&version=1.0,1.7016 Ha Temi Block,South District,0.0,261183, The work named construction of road from Temi-Damthang (NH710) to Gangchung village. The new cutting road falls under forest jurisdiction for the same a joint inspection was conducted with forest department which states 1.7016 hectares of land falls under forest area and required forest clearance from Forest Department above mention project is mainly overhauling of the existing road the people of the area mainly depends upon agricultural and horticultural activities for their livelihood as such the road act as the main role for their activities.,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133227443,0.0
132872612,New,WL/SK/DRKWATER/546136/2025,2025-07-26T15:20:46.676+00:00,,,1.1793,2100423.0,PUBLIC HEALTH ENGINEERING DEPARTMENT,,Wildlife clearance form,,,,Repair and extension of water supply to Rhenock Government College at Pakyong District.,SIKKIM,Rongli,Singaneybas,,,,Hybrid,0.905,0.2743,1.1793,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-29T10:22:34.810+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132375342&refType=caf&uuid=214b6c4f-ba97-4d88-a4bc-24a2e42f7849&version=1.0,,East District,3650.0,261362,Water supply scheme to Government college situated at Rhenock.,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132872612,1080.0
132400242,New,FP/SK/OTHERS/545391/2025,2025-07-19T09:06:56.904+00:00,,Pending at DFO for Scrutiny and Recommendation,0.0464,167.46,Tourism and Civil Aviation Department,,Forest clearance form,,,,"Construction of wayside amenity at Gurashey Dara, Kaluk Dentam Road, Gyalshing District, Sikkim",SIKKIM,Gyalshing,Sangkhu,,,,Non - Linear,0.0,0.0464,0.0464,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-22T07:42:50.625+00:00,,Degraded Forest Land,true,"Paryatan Bhawan, Metro Point Gangtok",,11,State Government (Department/Autonomous body),Divisional Engineer,,11,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132185753&refType=caf&uuid=637d512d-c6d3-46a8-859d-1cffb7cf84d8&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=132185753&refType=FC&uuid=064cc5f8-c472-48a7-9c5d-81e7a8477c64&version=1.0,,West District,2.0,261033,"Dentam has unique shape of the valley, which resembles the outline of India, this area to be refreshing escape from the hustle and bustle of city life. The area in around village has all kind of tourist facilities including the hotels and home stay ranging from the low budget tourist guest to middle, high standard resort including Sikkim's food, verity shops landscape etc.;Therefore, in order to facilitates the tourist, the state Government is desired to have a wayside amenity along Kaluk-Dentam Road, from where the visitors can enjoy views of Dentam Valley and its surrounding. This place is located in Gurashey Dara lies in between Kaluk and Dentam Road.",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132400242,10836.0
131537948,New,FP/SK/HYD/IRRIG/543856/2025,2025-07-05T09:34:04.033+00:00,,Pending at UA for DFO EDS Reply,9.5828,22554.0,KUNDAN HYDRO (GANGTOK)  PRIVATE LIMITED,,Forest clearance form,,,,Rellichu-II HEP,SIKKIM,Gyalshing,Kongri,,,8.8026,Hybrid,0.7802,8.8026,9.5828,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-07T18:30:00.000+00:00,,Degraded Forest Land,true,"LOWER LAGYAP, POWER HOUSE HEP NEAR JALIPOOL",,11,Private Limited,DIRECTOR,,11,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131522489&refType=caf&uuid=221f7f33-6942-48e9-89d7-62c77f5aa6c3&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=131522489&refType=FC&uuid=4ed06956-c22b-449a-aa17-df0c2bcabc8f&version=1.0,8.8026,West District,9125.0,0,"The proposed Relli Chu–II Hydro Electric Project (HEP) is located along the Relli Chu–II stream, whose catchment area upstream of the diversion structure predominantly consists of forest land. The project is based on a run-of-the-river principle, ensuring that the natural course of the stream is preserved and that water is returned to the khad after power generation without affecting its ecological balance.;Due to the topographical, geological, and hydrological characteristics of the region, no other technically or economically viable alternative location outside forest land exists for the development of this project. Accordingly, essential project components such as the Trench Weir, Intake Structure, Feeder Channel, Collection Chamber with Spillway, Head Race Pipe, Aqueduct, D-Tank, Head Race Tunnel, Surge Shaft, Penstock Line, Power House, Tail Race Channel (TRC), and Muck Dumping Sites are located within forest land under the administrative jurisdiction of the West (T) Div., West SK",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131537948,730.0
131369459,New,FP/SK/OTHERS/543560/2025,2025-07-03T06:26:27.852+00:00,,Pending at UA for DFO EDS Reply,0.0278,16.0,ROSHAN RAI,,Forest clearance form,,,,Construction of plastic waste management unit under Temi block district Namchi Sikkim,SIKKIM,Namchi,Doring,,,0000,Linear,0.0,0.0278,0.0278,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,The alternative site was not available because of problem in acquiring land and non - availability of approach road to the site.,NO,NO,NO,2025-07-03T08:02:17.587+00:00,,,false,"BAC, TEMI TARKU",Temi,11,Individual,Block Development Officer,Temi,11,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130029379&refType=caf&uuid=fdacac1d-46d5-44f7-a8fd-ab7f9cd6f4b0&version=1.2;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=130029379&refType=FC&uuid=d4afb69f-f69d-46bd-8e01-c6334b1f275c&version=1.0,0000,South District,1855.0,261187,"At present, villagers of Temi Block are using dump pits to collect the plastic waste or are simply burning the waste. The dry waste and wet waste are carried by recovery vehicle on timely basis from collection point where people directly bring their waste. This is transported to landfill Sipshu near Jorethang, Sikkim. The wet waste can be easily composted and as such there are suitable areas within the village for composting. However, the plastic and other dry waste have become a burden even when delivered at landfill. Hence, under the flagship scheme of Government of India, this proposal envisages to manage the plastic and other dry waste within the block/village as a primary step in waste management. Such materials will be identified, segregated and forwarded to various other units as per the material generated. The proposed structure is a single storey RC structure with GCI roof of size 794SFT(34.52'x23') BUA and a toilet of 54(9'x6') SFT BUA.",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131369459,516.0
131266086,New,FP/SK/HYD/IRRIG/543402/2025,2025-07-02T05:46:45.265+00:00,,Pending at DFO for Scrutiny and Recommendation,166.4803,574804.0, NHPC LIMITED,,Form-F: Application for Transfer of Lease/Change in User Agency Name,,,,Teesta - VI HE Project ,SIKKIM,Namchi,Aifaltar,,,,Non - Linear,44.2608,122.2195,166.4803,0.0,0.0,0.0,0.0,0.0,11,0,111,YES,,NO,NO,NO,2025-07-02T05:48:49.630+00:00,,,,"NHPC OFFICE COMPLEX, SECTOR - 33 ","",6,"Central PSU (eg. NHAI, AAI, NTP, CIL, SAIL)",General Manager (Env.),"",6,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=a8637553-a7fa-4160-98bd-8192c075b583&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=129084761&refType=caf&uuid=17f3d4ae-e38e-4670-aacb-a13ed3bdf991&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=2156aa60-60fc-44a9-a9ba-ef868316b207&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=e5af58b8-b949-4fb6-9fa4-27f5f7b3f20e&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=2a5f2fca-de06-4970-a280-f99fb8ba4fca&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=d756cfe6-f9fe-418a-818a-424e01de7766&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=c75ffaad-3813-4975-acd1-004cd58257e8&version=1.0,,South District,2730000.0,,"Hydroelectric Project on River Teesta with the barrage located at Sirwani, Dist.:Gangtok and the power house at village Thalthaley, Pamphok, Dist.: Namchi in the State of Sikkim",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131266086,251758.0
131260025,New,FP/SK/HYD/IRRIG/543387/2025,2025-07-02T04:38:03.811+00:00,,Pending at DFO for Scrutiny and Recommendation,166.4803,574804.0, NHPC LIMITED,,Form-F: Application for Transfer of Lease/Change in User Agency Name,,,,Teesta - VI HE Project ,SIKKIM,Namchi,Aifaltar,,,,Non - Linear,44.2608,122.2195,166.4803,0.0,0.0,0.0,0.0,0.0,11,0,111,YES,,NO,NO,NO,2025-07-02T04:58:36.974+00:00,,,,"NHPC OFFICE COMPLEX, SECTOR - 33 ","",6,"Central PSU (eg. NHAI, AAI, NTP, CIL, SAIL)",General Manager (Env.),"",6,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=a8637553-a7fa-4160-98bd-8192c075b583&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=129084761&refType=caf&uuid=17f3d4ae-e38e-4670-aacb-a13ed3bdf991&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=2156aa60-60fc-44a9-a9ba-ef868316b207&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=e5af58b8-b949-4fb6-9fa4-27f5f7b3f20e&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=2a5f2fca-de06-4970-a280-f99fb8ba4fca&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=d756cfe6-f9fe-418a-818a-424e01de7766&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40828&refId=129084761&refType=caf&uuid=c75ffaad-3813-4975-acd1-004cd58257e8&version=1.0,,South District,2730000.0,,"Hydroelectric Project on River Teesta with the barrage located at Sirwani, Dist.:Gangtok and the power house at village Thalthaley, Pamphok, Dist.: Namchi in the State of Sikkim",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131260025,251758.0
130403848,New,FP/SK/OTHERS/542198/2025,2025-06-20T08:43:04.759+00:00,,Pending at Nodal Officer for Recommendation,2.5,7000.0,TOURISM AND CIVIL AVIATION DEPARTMENT GOVERNMENT OF SIKKIM,,Forest clearance form,,,,"Diversion of forest land for development of Eco-friendly Rural Livelihood Green Arcade at Upper Dhapper, Yangang under Namchi Division by Tourism and Civil Aviation Department, Govt. of Sikkim",SIKKIM,Namchi,Namchi Forest Block,,,00,Non - Linear,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-20T08:48:59.277+00:00,,Degraded Forest Land,true,"Namchi Municipal Office Building Namchi Sub-Division;Tourism and Civil Aviation Department",Namchi,11,State Government (Department/Autonomous body),Secretary,Gangtok,11,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130402957&refType=caf&uuid=e0dfbed3-67d9-48ed-9bb5-a8a2d9f10c9e&version=1.2;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=130402957&refType=FC&uuid=e17b782e-775c-48be-a818-f429f14a359d&version=1.0,00,South District,546211.0,261197,"The proposed project aims to develop an eco-friendly, community-based Green Arcade near the Passenger Ropeway and Skywalk Project at Bhaleydhunga, Yangang under Namchi District. With the completion of these landmark tourism initiatives, Yangang is poised to emerge as a significant destination on the global tourism map. This rise in footfall opens up vast opportunities for sustainable rural entrepreneurship, local employment generation, Nature and cultural promotion.;;The Green Arcade is envisioned as a dedicated space where local artisans, Self Help Groups (SHGs), farmers, and small-scale entrepreneurs can showcase and market their products — including traditional handicrafts, souvenirs, organic produce, handloom items, and local cuisines. The initiative also emphasizes environmental awareness, with specially designed huts that interpret and exhibit the flora and fauna of the Meanam Wildlife Sanctuary. ;",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130403848,0.0
130295434,New,WL/SK/Others/542053/2025,2025-06-19T08:37:21.678+00:00,,,3.472,1854.0,"DRAWING OF 11KV LINE AND INSTALLATION OF DISTRIBUTION SUB-STATION AT BOPs OF 36TH & 72ND BN.SSB UNDER DENTAM DIVISION, WEST SIKKIM.",,Wildlife clearance form,,,,"Diversion of forest land for construction of 11 Kv Transmission line and installation of distribution sub-station at BoPs of 36th & 72nd Bn SSB under Dentam Range, Geylshing Division by Power Department, Govt. of Sikkim",SIKKIM,Gyalshing,Sopakha,,,0,Linear,0.0,3.472,3.472,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-19T09:43:09.425+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130288810&refType=caf&uuid=49be1065-25e0-4907-9f3c-1699f72f89ac&version=1.1,0,West District,500.0,0,"Construction of 11 Kv Transmission line and installation of distribution sub-station at BoPs of 36th & 72nd Bn SSB under Dentam Range, Geylshing Division by Power Department, Govt. of Sikkim;;",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130295434,0.0
