Proposal Number,Application Date,Organization Name,Project Category (Code),Project Category,Project Land Requirement (Hectares),Total Cost (Lakhs),Village,Sub District,Project Name,Project Description,State,District,Employment (Construction),Employment (Operational),Plot Number,District (Geographic),State (Geographic),Village Code,KML URLs,proposal_url
SIA/GA/MIN/442457/2023,2023-08-30T10:16:59.181+00:00,MARIANO ROSARIO,B2,Mining of minerals,1.5225,10.0,SANTONA,Sanguem,"Proposed Basalt Quarry bearing lease no. 04/Basalt/90 & 03/Basalt/07 (renewed & amalgamated on 10/10/ 2018 to lease no. 03/Basalt/18) of Lease Area 1.5225 Ha Located on Land Bearing Survey No. 72/1-B of Village Santona Of Sanguem Taluka South Goa, Goa","The proposal is for obtaining prior environmental clearance for Basalt Quarry bearing lease no. 03/Basalt/18 located at Survey No. 72/1 B of Village Santona Of Sanguem Taluka South Goa, Goa, over an area of 1.5225Ha.;",GOA,South Goa,0.0,9600.0,Survey No. 72/1-B ,South Goa,GOA,626987,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=8852915&refType=caf&uuid=6c6cb186-6de4-4666-a4e9-ec90d8a138aa&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=8853713
SIA/GA/INFRA2/531605/2025,2025-03-27T11:16:32.208+00:00, GOA TOURISM DEVELOPMENT CORPORATION LIMITED,B2,Building / Construction ,1.9677,37318.0,PANAJI,Tiswadi,Five star hotel ,"The proposed project involves the development of a hotel comprising 587 guest rooms along with restaurants, banquets, meeting rooms, a fitness centre, spa, and swimming pool. The hotel is designed to enhance tourism and create employment opportunities in Goa. The project site is located at Miramar, Panaji city, Tiswadi Taluka, Goa, and falls under the jurisdiction of Goa Tourism Development Corporation (GTDC). The total plot area is 19,677 sq.m., and the total built-up area is 74,078.72 sq.m. (FAR 49686.05 sq.m + Non FAR 24392.67 sq.m);Configuration: Basement+Stilt1/GF +Stilt 2/FF + 2F to 12 Floors;Height of the building: 40 m;",GOA,North Goa,3720.0,328510.0,"1/PTS117, 1-A/PTS117, 2A/PTS117, 1/PTS118, 1B/PTS118, 1-B-1/PTS118, 2/PTS118, 3/PTS118, 4/PTS118 and 5/PTS118",North Goa,GOA,803243,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=116872810&refType=caf&uuid=09135e64-8310-4b7d-a6a2-f3ac1d1bb1cc&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=123667734
SIA/GA/MIN/503116/2024,2024-10-26T05:43:16.471+00:00,JSW STEEL LTD,B1,,38.5143,6900.0,Cudnem,Bicholim,Block VI Cudnem Cormolem Mineral Block,"Block VI – Cudnem Cormolem Mineral Block. The auction was conducted on 25/04/2023 and JSW Steel Limited was declared as “Preferred Bidder.” The Letter of Intent was issued on 12/07/2023, The area of the Mineral Block is 38.5143 Ha and is located in Cudnem Village, Bicholim Taluka, North Goa District, Goa. The proposed production capacity of Iron Ore is 0.5 MTPA. Mechanized open cast mining method will be adopted.",GOA,North Goa,0.0,55220.0,"89(P),90(P),93(P),94,95 96(P),97(P),98(P),107(P),110(P), 111, 112(P), 113(P), Seasonal Drain",North Goa,GOA,626757,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=24874428&refType=caf&uuid=90d63279-b380-4868-85c3-4387fe0b2eb4&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=110358103
SIA/GA/IND1/435574/2023,2023-07-04T08:19:49.764+00:00, SHIVAM ISPAT PRIVATE LIMITED,B2,Metallurgical Industries (ferrous and non ferrous),0.8485,482.0,KUNDAI,Ponda," Proposed Enhancement of Production capacity of MS Billets from 43,200 TPA to 59,400TPA by the existing  Induction furnace of capacity 15T at Plot no. 333, 334 & 335 Kundaim Industrial Estate, Kundaim, Ponda – Taluka, South Goa, Goa","M/s Shivam Ispat Private Limited located at Plot no. 333, 334 & 335 at Kundaim Industrial Estate, Kundaim, Ponda – Taluka, South Goa, Goa is proposing an expansion of the Production Capacity of MS Billets from 43,200 TPA to 59,400 TPA by the existing Induction Furnace of 15T capacity.;",GOA,North Goa,0.0,18250.0,"333, 334 & 335",North Goa,GOA,626855,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6533825&refType=caf&uuid=3c94f2a2-f38a-4ff8-b4fc-36539dd7cdb0&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6534070
SIA/GA/MIN/492316/2024,2024-08-10T16:18:24.034+00:00,THE DIRECTOR OF MINES,B2,,2.69,0.0,P A N C H V A D I,Ponda,Zuari River Sand Mining Zone-7,Sand mining in River Zuari,GOA,North Goa,0.0,0.0,,North Goa,GOA,626864,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=91928610&refType=caf&uuid=192bd9dd-efbc-4a80-b1e3-22897615a72f&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=92212327
IA/GA/MIN/465184/2024,2024-03-06T09:56:31.832+00:00, R B S CANDIAPARCAR,,,3.42,1.355,DARBANDORA,Dharbandora,"Extension of Validity of Environment Clearance for Basalt Stone Quarry bearing lease no. 04/BASALT/93 admeasuring 3.42 Ha located at Survery.no.11/1(P) of Village Piliem, Taluka Dharbandora, South Goa, Goa","The proposal is for obtaining an Extension of Validity  for the Basalt Stone Quarry bearing Leas No. 04/Basalt/93 located at Survery.no.11/1(P) of Village Piliem, Taluka Dharbandora, South Goa, Goa;",GOA,South Goa,0.0,1225.0,11/1(P),South Goa,GOA,626971,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=51641169&refType=caf&uuid=ca23e44d-4666-4274-9f23-07fc184d1c29&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=51641884
SIA/GA/MIN/407359/2022,2022-11-21T11:21:56.663+00:00, DR PRAMOD M S TALAULICAR & OTHERS,B2,Mining of minerals,4.9,15.0,PONDA,Ponda,Dump mining,This project is very simple nature of operation. the ore /mineral rejects stock removal proposed to be carried out by deploying hydraulic excavators and wheel loaders with trucks combination.,GOA,North Goa,54810.0,54810.0,23/1,North Goa,GOA,0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=1644143&refType=caf&uuid=58a22b6b-533f-4a4e-b5ce-7c9617fe1153&version=1.1,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=1646307
SIA/GA/INFRA2/415433/2023,2023-01-21T09:24:11.969+00:00,PALACIO PROPERTY DEVELOPERS PVT. LTD.,B2,Building / Construction ,4.124,3954.0,GOA VELHA,Tiswadi,"Residential Project by Palacio Property Developers Pvt. Ltd at Survey No. 181/1 (P), 181/2,181/3, 181/5 (P), 182/7,183/9,180/1 (P), 180/2 (P), 184/3 of Village Goa Velha, Taluka Tiswadi, North Goa, Goa","Increase in Built Up area from  28,487Sq.mtrs. to 35,392.35 Sq.mtrs",GOA,North Goa,20.0,0.0,"Survey No. 181/1 (P), 181/2,181/3, 181/5 (P), 182/7,183/9,180/1 (P), 180/2 (P), 184/3 ",North Goa,GOA,626734,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=2653636&refType=caf&uuid=ce2e99f6-bb42-4a9f-acb7-e57aa1b450f3&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=2654319
SIA/GA/INFRA2/514195/2024,2024-12-11T06:26:23.751+00:00,Ajay prakash Yadav,B2,Building / Construction ,5.648,17000.0,Quitol,Quepem,PARUL EDUCATION FOUNDATION,We are proposing Educational Institute project with total plot area 56480.00 m2 and total built up area 96327.70 m2. ,GOA,South Goa,60.0,0.0,"Survey No. 78/1,",South Goa,GOA,626951,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=114464846&refType=caf&uuid=728e31f7-5b05-4cc3-a05c-922ae05505f7&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=114474307
SIA/GA/INFRA2/433474/2023,2023-06-15T07:18:18.541+00:00, HERITAGE PRINCES REAL ESTATE DEVELOPERS,B2,Building / Construction ,0.8438,4000.0,ARPORA,Bardez,"Proposed Construction of Residential Apartments and Swimming Pool at Survey No. 27/1 and 27/1-D at Arpora, Bardez Taluka, North Goa, Goa","Heritage Princes Real Estate Developers is proposing construction of Residential Apartments at Survey No. 27/1 and 27/1-D at Arpora, Bardez Taluka, North Goa, Goa. The project is having Total Plot Area of 8438 sqm and Total Built-up Area of 22135.14 sqm.;",GOA,North Goa,27450.0,0.0,27/1 & 27/1-D,North Goa,GOA,626673,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=6129367&refType=caf&uuid=cde0047a-422d-45c3-9147-4175563eed0e&version=1.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=6129915
