ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,proposal_url,Village Code,Plot Number,District,Employment (Construction),Project Description,KML URLs,Employment (Operational)
132945439,New,IA/PY/CRZ/546299/2025,2025-07-28T11:57:15.718+00:00,,Under Examination with SCZMA,0.011,7000000.0,saranesh,,CRZ clearance form,CRZ,,,Proposed Construction of Two Storeyed Residential Building with stilt floor (2 Dwelling units) ,PUDUCHERRY,Puducherry Taluk,PONDICHERRY(PUDUCHCHERI),,,,Non - Linear,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-28T12:37:29.767+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132945439,804036,,Puducherry,1816.0,"Proposed Construction of Two Storeyed Residential Building with stilt floor (2 Dwelling units) Located at R.S. No. 198/5APT, Cadastree No. 899PT, Patta No. 1187, Ward-B, Block No. 17, T.S.No.32, Village No.40, Old Door No. 66, After Door No. 12, New Door No. 21, Puducherry Revenue Village, Vazhaikulam, Appavou Nagar, Puducherry Municipality, Puducherry-605003. Total land area is 1200 (Square feet) with a plot value and building construction value estimated Rs. 70,00,000 (Seventy lakhs on completion of the building). Land description: East West 20 feet, North South 60 feet, totally 1200 Square feet of plot area required for CRZ clearance. ",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132943234&refType=caf&uuid=d1c4ea9c-b5e4-4504-909b-75ed5f87dac6&version=1.0,1816.0
132577458,New,IA/PY/CRZ/545652/2025,2025-07-22T13:23:16.020+00:00,,Under Examination with SCZMA,0.02,15298340.0,Shalini r,,CRZ clearance form,CRZ,,,Proposed Construction of Three storeyed Commercial cum Residential Buildings with stilt floor (2 shops 1 Dwelling units) after demolishing the existing single storeyed building,PUDUCHERRY,Puducherry Taluk,PONDICHERRY(PUDUCHCHERI),,,"R.S. 239 Pt, T.S. No.129/1, Ward-C, Block No.24, Old door No. 34, New door No.38 New No.38",Non - Linear,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-22T13:57:28.293+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132577458,804036,"R.S. 239 Pt, T.S. No.129/1, Ward-C, Block No.24, Old door No. 34, New door No.38 New No.38",Puducherry,4416.0,"Proposed Construction of Three storeyed Commercial cum Residential Building with stilt floor (2 shops 1 Dwelling units) after demolishing the existing single storeyed building located at R.S. 239 Pt, T.S. No.129/1, Ward-C, Block No.24, Old door No. 34, New door No.38, Dupuy Street, Puducherry Revenue Village, Puducherry Municipality, Puducherry. 605001. Total land area is 2222 (Square feet) with a plot value and building construction value estimated of Rs. 15298340.00 (One crore fifty-two lakhs ninety-eight thousand three hundred and forty rupees on completion of the building). Land description: Both sides of East to West 30 feet 09 ½ inches, both sides of South to North 73 feet 3 inches, having an extent of 2255.35 square feet of land with R.C.C old building required for CRZ clearance.",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132575653&refType=caf&uuid=3d877175-e8ae-41be-8801-93d6c2c4a072&version=1.0,4396.0
132558393,New,IA/PY/CRZ/545619/2025,2025-07-22T11:06:26.269+00:00,,Under Examination with SCZMA,4.2442,2461.8,Transport department puducherry,,CRZ clearance form,CRZ,,,Establishment of Institute of Driving Training and Research (IDTR) at Thengathittu Revenue Village Puducherry,PUDUCHERRY,Puducherry Taluk,THENGATHITTU,,,Ward-P Block-13 T. S No. 1/1A 1/1B 1/1C 1/2 1/3 2/1 and 2/2A,Non - Linear,4.2442,0.0,4.2442,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-22T12:18:05.060+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132558393,804036,Ward-P Block-13 T. S No. 1/1A 1/1B 1/1C 1/2 1/3 2/1 and 2/2A,Puducherry,16200.0,"Establishment of Institute of Driving Training and Research (IDTR) at Thangathittu Revenue Village, Puducherry at Ward-P, Block-13, T. S No. 1/1A, 1/1B, 1/1C, 1/2, 1/3, 2/1 and 2/2A",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132554904&refType=caf&uuid=b78a6410-c28b-4bfa-998d-7c449eb2690c&version=1.0,7500.0
131574205,New,IA/PY/CRZ/543938/2025,2025-07-06T12:33:53.997+00:00,,Under Examination with SCZMA,0.0,355600.0,THANGAVEL SELVAM,,CRZ clearance form,CRZ,,,Proposed construction of single  storeyed  residential building  (1 dwelling unit)  at R.S.no. 232/10.,PUDUCHERRY,Ozhukarai Taluk,KALAPET,,,232/10,Linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-06T12:48:49.173+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131574205,937516,232/10,Puducherry,1805.0,"R.S.no.232/10, Perumal Koil Street(Therodum Mela Veethi), Periyakalapet, Kalapet  Rev. Village, Oulgaret Municipality, Puducherry.;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131574054&refType=caf&uuid=04fcbd03-04c8-4968-bc47-95990d99cbdf&version=1.0,1805.0
130577673,New,IA/PY/CRZ/542434/2025,2025-06-23T09:33:34.314+00:00,,Under Examination with SCZMA,0.0226,86.24,Desikan narasimhan,,CRZ clearance form,CRZ,,,Proposed Construction of a  Two Storeyed Residential Building  (2 Dwelling Units) With Stilt Floor after Demolishing Existing Two Storeyed MTR / RCC Roof Building,PUDUCHERRY,Puducherry Taluk,PONDICHERRY(PUDUCHCHERI),,,"R.S.No. 239 pt , Door No.5,  T.S.No.147, Ward-C, Block No. 19,",Linear,0.0226,0.0,0.0226,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-23T14:56:19.437+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130577673,804036,"R.S.No. 239 pt , Door No.5,  T.S.No.147, Ward-C, Block No. 19,",Puducherry,7200.0,"Proposed Construction of a Two Storeyed Residential Building (2 Dwelling Units) With Stilt Floor after Demolishing Existing Two Storeyed MTR / RCC Roof Building at R.S.No. 239pt , Door No.5, T.S.No.147, Ward-C, Block No. 19, Ambalathadaiyar madam Street, Puducherry Revenue Village, Puducherry Municipality, Puducherry",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130575145&refType=caf&uuid=d1d11e54-2cd4-4f70-8140-baae72e2acb1&version=1.0,2.0
130278289,Expansion,SIA/PY/INFRA2/542030/2025,2025-06-19T07:10:06.603+00:00,,ADS Raised,31.12,281852.0,M/S MRF LTD.,,Environment clearance form,EC,B1,,“PROPOSED ADDITIONAL CONSTRUCTION OF NEW BUILDINGS TO THE EXISTING BUILDINGS OF INDUSTRIAL BUILDINGS” IN THE NAME OF M/S. MRF LIMITED  ,PUDUCHERRY,Bahour Taluk,ERIPAKKAM,,542030/SEAC/PDY/2025,,Non - Linear,31.12,0.0,31.12,0.0,0.0,0.0,242268.0,39584.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-19T14:53:28.917+00:00,Building or Construction projects or Area Development projects or Townships,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130278289,644963,,Puducherry,36500.0,"Madras Rubber Factory (MRF) was started by K. M. Mammen Mappillai as a toy balloon manufacturing unit in 1946 at Tiruvottiyur, Madras (now Chennai). In 1952, the company ventured into the manufacture of tread rubber.  Madras Rubber Factory limited was incorporated as a private company in November 1960 and ventured into manufacture of tyres in partnership with Mansfield Tire & Rubber company based in Ohio, United States.;MRF have Ten Manufacturing units all over India in which they are going for Expansion in Puducherry Unit and it is located at Eripakkam Village, Puducherry U.T. Existing Plant covered the Total Area of 31.177 Ha. Now we are proposed for expansion within the existing unit without increase in land area.",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=125492015&refType=caf&uuid=413a188a-0bcf-4304-8191-59fefee5328a&version=1.0,14508750.0
130195515,New,IA/PY/CRZ/541886/2025,2025-06-18T08:03:00.603+00:00,,DELISTED_BY_SYSTEM,0.0,2300000.0, POORNIMA,,CRZ clearance form,CRZ,,,"Proposed constrcution of Two storied residential at R.S.No.108/22pt, Ward-A, Block-22, T.S.No.24/1/A/1&24/1/A/2, Puducherry Revenue village, Puducherry",PUDUCHERRY,Puducherry Taluk,PONDICHERRY(PUDUCHCHERI),,,R.S.No.108/22pt,Linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-18T08:25:36.961+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130195515,804036,R.S.No.108/22pt,Puducherry,0.0,"Proposed constrcution of Two storied residential at R.S.No.108/22pt, Ward-A, Block-22, T.S.No.24/1/A/1&24/1/A/2, Puducherry Revenue village, Puducherry",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130146307&refType=caf&uuid=f5ac0db8-2143-4fd7-811b-e0e1d37af9eb&version=1.0,0.0
128984860,Expansion,SIA/PY/INFRA2/540100/2025,2025-06-02T12:05:00.609+00:00,,Referred to SEIAA,2.8553,12600.0,GOVERNMENT GENERAL HOSPITAL KARAIKAL,"Hubert Enviro Care Systems Pvt Ltd, Chennai ",Environment clearance form,TOR,B2,Building / Construction ,M/s. GOVERNMENT GENERAL HOSPITAL,PUDUCHERRY,Karaikal Taluk,KARAIKAL,,540100/SEAC/PDY/2025,,Linear,2.8553,0.0,2.8553,0.0,0.0,0.0,5000.0,7600.0,0,0,0,NO,NIL,YES,NO,NO,2025-06-04T13:08:59.202+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=128984860,804040,,Karaikal,18250.0,"The project site spans a total land area of 28,553 sq.m., located in T.S. Nos. F/28/77, F/28/89, G/3/5/1, G/3/5/2, and G/3/5/6 (part) in Karaikal, Puducherry. The proposal involves the construction of a Government General Hospital complex comprising 3 blocks and a utility building, with a total proposed built-up area of 33,846 sq.m.;This project falls under Item No. 8(a) of the EIA Notification, 2006 and its subsequent amendments, and is classified as a Category B2 – Building and Construction Project. The layout plan of the proposed development is enclosed as Annexure 2..;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=128963744&refType=caf&uuid=aae6a618-49d1-4ce0-99d9-443f196f819a&version=1.0,759000.0
127490805,New,IA/PY/CRZ/538454/2025,2025-05-21T06:27:48.329+00:00,,Under Examination with SCZMA,4.359,3000.0,A Kavitha,,CRZ clearance form,CRZ,,,Development of Resorts (Hotel) Building,PUDUCHERRY,Bahour Taluk,KIRUMAMPAKKAM,,,,Non - Linear,0.0,4.359,4.359,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,This is a beach resort,NO,NO,NO,2025-07-29T12:25:45.437+00:00,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=127490805,644971,,Puducherry,25550.0,"Proposed Development of Resorts(Hotel) Building at survey no 131/3, 131/4, 131/5, 131/6, 131/18, 151/1, 151/2, 152/4, 152/5, 152/6, 153/2pt, 156/1, 156/3, 156/4, 156/5 and 156/6pt in Kirumambakkam village, Bahour taluk, Puducherry by Ms. Kavitha Amarnath. ;The project falls under CRZ III, CRZ III (NDZ), CRZ IB, CRZ IV (B). The total area of the project is 43590.5 sq. m. The plot coverage area is 5626.05 sq.m, car parking area is 4788.35 sq.m, landscape area will be 9230.49 sq.m and vacant land will be 23945.6 sq.m. The built up area is 9442.44 sq.m. The Ground floor area is 5626.05 sq.m and first floor area is 3816.39 sq. m. The proposed project includes Security I & II, Reception, Multipurpose Hall, Restaurant, Kitchen, Toilets, Guest Room Building - Block No.2 (No of Rooms 50) Block No.3 (No of Rooms – 18) Total No of Rooms - 68, Swimming Pool, Spa, Gym, Indoor Play area and Statue. ",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=127336037&refType=caf&uuid=481a3321-5e22-4e80-8cd8-fb494563fbb5&version=1.0,1058500.0
127384892,New,IA/PY/IND2/538306/2025,2025-05-20T06:08:58.856+00:00,2025-07-05T14:35:59.214+00:00,EC Granted,13.3146,80000.0, CHEMPLAST SANMAR LIMITED,,Environment clearance form,EC,A,,Proposed Ethylene Dichloride (EDC) Manufacturing Unit ,PUDUCHERRY,Karaikal Taluk,POLAGAM,IA-J-11011/37/2025-IA-II ,,,Non - Linear,13.3146,0.0,13.3146,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,"While two other sites at Cuddalore and Karaikal were examined, it has been proposed to setup the project at PIPDIC, Karaikal.",NO,NO,NO,2025-06-03T07:31:24.349+00:00,Located within industrial estates,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=127384892,644993,,Karaikal,18650.0,"Proposed Difluoromethane (R-32) and Ethylene Dichloride (EDC) Manufacturing Unit of Chemplast Sanmar Limited at Plot No. A-196, B-57, C-10, C-11, , C-21, C-22, G-2, G-8, G-9, G-10 & G-11, Pondicherry Industrial Promotion Development and Investment Corporation Limited (PIPDIC), Industrial Growth Centre, Polagam (Village), Karaikal (District), Puducherry",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=117282511&refType=caf&uuid=6957fd48-221c-439a-be58-1490deeeb7e2&version=1.0,47600.0
