ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Village Code,Project Description,District,proposal_url,Employment (Construction),KML URLs,Plot Number,Employment (Operational)
133755710,New,WL/LA/TRANS/547608/2025,2025-08-09T08:09:00.470+00:00,,,36.4,897.0,ENERGY POWER DEPARTMENT,,Wildlife clearance form,,,,WILDLIFE CLEARANCE IN LIEU OF 11 kV TRANSMISSION LINE ERECTION FROM PHOBRANG TO DHAN SINGH POST UNDER ADDITIONAL RDSS WORKS IN LADAKH BORDER AREAS PKG-02,LADAKH,  ,NA,,,,Linear,0.0,36.4,36.4,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-09T08:53:06.037+00:00,,,,,,,,,,0,11 kV TRANSMISSION LINE ERECTION FROM PHOBRANG TO DHAN SINGH POST UNDER ADDITIONAL RDSS WORKS IN LADAKH BORDER AREAS PKG-02,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133755710,40.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133625818&refType=caf&uuid=d8c98a5b-30f5-4972-9d69-b66aa2de48df&version=1.0,,0.0
133316488,New,WL/LA/DEF/546913/2025,2025-08-02T13:23:47.865+00:00,,,20.3,2190.0,Ministry of Defense,,Wildlife clearance form,,,,ARMY CAMP (ARMY WORKSHOP AT 134 KM),LADAKH,Nubra,NA,,,,Non - Linear,0.0,20.3,20.3,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-02T13:56:51.790+00:00,,,,,,,,,,0,WILDLIFE CLEARANCE,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133316488,3660.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133315674&refType=caf&uuid=dd096212-25ec-4603-ac5c-042b9dd68385&version=1.0,,7310.0
133115206,New,WL/LA/DEF/546608/2025,2025-07-31T04:32:37.826+00:00,,,15.47,12662.63,Border Roads Organisation,,Wildlife clearance form,,,,CONSTRUCTION OF GORE-PP TO GIRDHAR POST (KM 0.000 TO KM 18.878) TO NHSL SPECIFICATION INCLUDING CONSTRUCTION OF 50 MTR MAJOR PERMANENT BRIDGE UNDER PROJECT VIJAYAK IN LADAKH (UT).,LADAKH,Nubra,Turtok,,,,Linear,0.0,15.47,15.47,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-31T05:22:16.730+00:00,,,,,,,,,,000913,The present route from Gore-PP –Girdhar Post is a foot track of length 5 km and there is no existing connectivity from Gore-PP to Girdhar Post which makes it difficult for army to maintain these high altitude posts during harsh winters also it is a time consuming process during summers which significantly affects the operational capability of troops deployed there. Gore -PP-Girdhar-Chotak road listed in LTRoWP srl No.257.  The proposed NHSL which has been approved as per AWP target 2025-26 will drastically cut down the travelling time and improve the operational and logistical support to these high altitude locations thereby significantly enhancing the operational capability. The road Gore-PP Girdhar Post is strategically and operationally very important for army hence it was proposed to construct this road to NHSL specifications.,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133115206,37100.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133051597&refType=caf&uuid=ad4fcbc3-e3b2-420c-920a-65dd5bd22ddc&version=1.0,,21930.0
132632408,New,WL/LA/Others/545732/2025,2025-07-23T10:37:41.426+00:00,,,969600.0,0.0,Department of Wildlife Protection,,Wildlife clearance form,,,,"Rationalisation of Boundary of High Altitude Cold Desert (Changthang) Wildlife Sanctuary , UT Ladakh.",LADAKH,Leh,NA,,,,Non - Linear,0.0,969600.0,969600.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-23T11:06:09.734+00:00,,,,,,,,,,"","The project proposes the rationalisation of boundary of  High Altitude Cold Desert (Changthang) Wildlife Sanctuary in UT Ladakh to correct inconsistencies in the original notified area. It aims to exclude habitated areas and community lands while retaining ecologically important zones. This will reduce conflicts, support legitimate land use, and strengthen conservation efforts.",Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132632408,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132630813&refType=caf&uuid=779e1b77-ad4c-4757-bdf7-b84f57c1c1f1&version=1.0,,0.0
132571784,New,WL/LA/Others/545645/2025,2025-07-22T12:26:54.522+00:00,,,1655000.0,0.0,Department of Wildlife Protection,,Wildlife clearance form,,,,"Rationalisation of Boundary of Karakoram (Nubra-Shayok) Wildlife Sanctuary , UT Ladakh.",LADAKH,Nubra,NA,,,,Non - Linear,0.0,1655000.0,1655000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-22T14:18:11.471+00:00,,,,,,,,,,"","The project proposes the rationalisation of boundary of Karakoram (Nubra–Shyok) Wildlife Sanctuaries in UT Ladakh to correct inconsistencies in the original notified area. It aims to exclude habitated areas and community lands while retaining ecologically important zones. This will reduce conflicts, support legitimate land use, and strengthen conservation efforts.",Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132571784,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132565650&refType=caf&uuid=e9eafa3e-09db-43a1-a988-ba375248f84b&version=1.0,,0.0
131939202,New,SIA/LA/MIN/544471/2025,2025-07-11T10:47:08.858+00:00,,Proposal Accepted and Referred to SEAC,1.99,22.0,STANZIN GAYWANG,,Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 ,EC,B2,,Minor Mineral Block Nallah Boulder Mining (Area-1.99 ha.),LADAKH,Leh,Stok,,SIA/LA/MIN/544471/2025,,Non - Linear,1.99,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-11T12:02:23.563+00:00,,,"Saspol, Leh ",,37,Individual,lessee,,37,000862,"Minor Mineral Block Nallah Boulder at Village- Stok, Tehsil, Distt-Leh, Ladakh (U.T)",Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131939202,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131937206&refType=caf&uuid=6db6df86-ec8c-43a7-b835-1b1f1b9d5201&version=1.0,,0.0
131400312,New,WL/LA/SubStation/543612/2025,2025-07-03T10:09:19.796+00:00,,,2.7,1885.0,ENERGY POWER DEPARTMENT,,Wildlife clearance form,,,,"Construction of 66/11kV Koyoul, Chushool, Nidder, Hanley Substation under  Loss reduction works in Changthang Region",LADAKH,Leh,Mood,,,,Non - Linear,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Not applicable as the project or activity is site specific,NO,NO,NO,2025-08-07T11:02:15.279+00:00,,,,,,,,,,000902,"wildlife clearance in lieu of construction of 66/11kV Koyoul, Chushool, Nidder, Hanley Substation under  Loss reduction works in Changthang Region",Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131400312,27025.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131035536&refType=caf&uuid=3ec76940-d7d2-4b49-a41e-d68217d52637&version=1.0,,27025.0
131392488,New,SIA/LA/MIN/543597/2025,2025-07-03T09:11:41.889+00:00,,Under Verification,0.91,22.0,THENLAY ANGCHOK,,Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 ,EC,B2,,"Minor Mineral Block Nallah Boulder an area of 0.91 ha., at Village- Stok, Tehsil & Distt-Leh, Ladakh (U.T), in favor of Shri Thinley Anchuk",LADAKH,Leh,Chuglamsar (CT),,SIA/LA/MIN/543597/2025,,Non - Linear,0.91,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-10T10:26:53.883+00:00,,,"Gonjong Durbuk, Laga, Laga durbuk, Laga, Durbok, Leh, Jammu and Kashmir-194101",,37,Individual,project proponrent,,37,000910,"proposed Minor Mineral Block Nallah Boulder Mining Project, proposal for obtaining Environmental Clearance of the area for Minor Mineral Block Nallah Boulder an area of 0.91 ha; targeted Production capacity- 8,190 TPA (ROM), Minor Mineral Block Nallah Boulder at Village- Stok, Tehsil & Distt-Leh, Ladakh (U.T) in favor of Shri Thinley Anchuk",Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131392488,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131390339&refType=caf&uuid=a3cb90aa-1486-43c8-a63d-a685ab574094&version=1.0,,6400.0
131301352,New,WL/LA/DEF/543471/2025,2025-07-02T09:54:28.372+00:00,,,1.62,1593.0,NW FTR ITBP LEH,,Wildlife clearance form,,,,BOP Quazi Langer,LADAKH,  ,NA,,,,Non - Linear,1.62,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,No other suitable sites are available,NO,NO,NO,2025-07-02T10:21:57.997+00:00,,,,,,,,,,"",Diversion of wildlife land for establishment of ITBP BOP at Quazi Langer,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131301352,19235.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131287326&refType=caf&uuid=c80c2d34-2cd3-42fb-ba26-def9cee97d80&version=1.0,,14415.0
131298609,New,SIA/LA/MIN/543462/2025,2025-07-02T09:33:54.889+00:00,,Under Verification,0.5028,18.0,MOHAMMAD HAIDARY,,Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 ,EC,B2,,"Minor Mineral Block Nallah Boulder Mining Project  (area of 0.5028 ha.),  at Village-Yokma Kharboo, Tehsil – Shakar District – Kargil, Ladakh (U.T) in favor of Mr. Haji Mohd Hassan Haidary",LADAKH,Sanku,Chiktan,,,,Linear,0.5028,0.0,0.5028,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-24T05:03:36.209+00:00,,,"Groung, Baroo, Baroo, Kargil, Jammu Kashmir-194105 ",,37,Individual,lessee,,37,000986,"proposed Minor Mineral Block Nallah Boulder Mining Project, proposal for obtaining Environmental Clearance of the area for Minor Mineral Block Nallah Boulder an area of 0.5028 ha; targeted Production capacity- 3,918 TPA (ROM), Minor Mineral Block Nallah Boulder at Village-Yokma Kharboo, Tehsil – Shakar District – Kargil, Ladakh (U.T)",Kargil,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131298609,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131298099&refType=caf&uuid=73f1e7bf-d317-4937-8953-c4261bc33d38&version=1.0,,6400.0
131269668,New,SIA/LA/MIN/543406/2025,2025-07-02T06:10:09.703+00:00,,Under Verification,1.25,20.0,MOHAMMAD HAIDARY,,Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 ,EC,B2,,"Minor Mineral Block Nallah Boulder an area of 1.25 ha. at Village- Upper Khubathang, District – Kargil, Ladakh (U.T) in favor of Mr. Haji Mohd Hassan Haidary",LADAKH,Sanku,Chosker Suru,,,,Non - Linear,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-21T09:19:01.479+00:00,,,"Groung, Baroo, Baroo, Kargil, Jammu Kashmir-194105 ",,37,Individual,lessee,,37,001056,"proposed Minor Mineral Block Nallah Boulder Mining Project, proposal for obtaining Environmental Clearance of the area for Minor Mineral Block Nallah Boulder an area of 1.25 ha; targeted Production capacity- 11,636 TPA (ROM), Minor Mineral Block Nallah Boulder at Village- Upper Khubathang, District – Kargil, Ladakh (U.T) in favor of Mr. Haji Mohd Hassan Haidary",Kargil,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131269668,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131266428&refType=caf&uuid=88bd803a-36ed-4142-aa9c-4909ce3500ed&version=1.0,,6400.0
131237744,New,WL/LA/DEF/543362/2025,2025-07-01T12:58:03.337+00:00,,,1.62,1591.0,NW FTR ITBP LEH,,Wildlife clearance form,,,,BOP at KM - 156,LADAKH,Nubra,NA,,,,Non - Linear,1.62,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,No other suitable sites are available nearby,NO,NO,NO,2025-07-01T13:44:10.429+00:00,,,,,,,,,,"",Diversion of wildlife Land for establishment of ITBP BOP at KM-156,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131237744,19235.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131233555&refType=caf&uuid=eddfc6ba-482e-4309-8fde-d1f0906c2c13&version=1.0,,19235.0
131225965,New,SIA/LA/MIN/543334/2025,2025-07-01T11:28:46.635+00:00,,Under Verification,0.5674,20.0,MOHAMMAD HAIDARY,,Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 ,EC,B2,,"Minor Mineral Block Nallah Boulder at Village-Skilmarchey Khachan, Tehsil – Sankoo District – Kargil, Ladakh (U.T) in favor of Mr. Haji Mohd Hassan Haidary (Area-0.5674 ha.)) ",LADAKH,Sanku,Farona,,,,Non - Linear,0.5674,0.0,0.5674,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-12T08:33:23.538+00:00,,,"Groung, Baroo, Baroo, Kargil, Jammu Kashmir-194105 ",,37,Individual,lessee,,37,001034,"This is a proposed Minor Mineral Block Nallah Boulder Mining Project, proposal for obtaining Environmental Clearance of the area for Minor Mineral Block Nallah Boulder an area of 0.5674 ha; targeted Production capacity- 4460 TPA (ROM), Minor Mineral Block Nallah Boulder at Village-Skilmarchey Khachan, Tehsil – Sankoo District – Kargil, Ladakh (U.T)",Kargil,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131225965,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131224707&refType=caf&uuid=a8e22c9a-0232-46f5-a3d6-c0e892f2967a&version=1.0,,6400.0
131209709,New,SIA/LA/MIN/543303/2025,2025-07-01T09:38:40.828+00:00,,Under Verification,0.75,18.0,MOHAMMAD HAIDARY,,Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 ,EC,B2,,Minor Mineral Block Rock Debris Mining Project (Area-0.75 ha.),LADAKH,Sanku,Batambis,,,,Non - Linear,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-21T08:26:35.196+00:00,,,"Groung, Baroo, Baroo, Kargil, Jammu Kashmir-194105 ",,37,Individual,lessee,,37,001014,"Minor Mineral Block Rock Debris Mining Project, proposal for obtaining Environmental Clearance of the area for Minor Mineral Block Rock Debris an area of 0.75 ha; targeted Production capacity- 6419 TPA (ROM), Minor Mineral Block Rock Debris at Village-Ashana Lanchi, Tehsil – Trespa, District – Kargil, Ladakh (U.T) in favor of Mr. Haji Mohd Hassan Haidary",Kargil,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131209709,0.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131203381&refType=caf&uuid=8030a697-0965-4bcb-85e6-773a9e33e7c5&version=1.0,,6400.0
127840783,New,WL/LA/DEF/538864/2025,2025-05-23T13:20:43.047+00:00,,,1.62,1591.0,NW FTR ITBP LEH,,Wildlife clearance form,,,,BOP Bopsang Lungpa,LADAKH,Leh,NA,,,,Non - Linear,1.62,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,No other suitable sites are available nearby,NO,NO,NO,2025-05-23T13:50:17.618+00:00,,,,,,,,,,"",Diversion of wildlife land for establishment of ITBP BOP at Bopsang Lungpa,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=127840783,5000.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=127831720&refType=caf&uuid=f09761a1-a1f2-4561-985b-683117c0c4f2&version=1.0,,14235.0
127670543,New,WL/LA/DEF/538688/2025,2025-05-22T13:32:21.270+00:00,,,15.4,434.0,Ministry of Defense,,Wildlife clearance form,,,,BRIGADE HEADQUARTER CAMP (KM 144),LADAKH,Nubra,NA,,,,Non - Linear,0.0,15.4,15.4,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-05-22T14:59:09.865+00:00,,,,,,,,,,"",WILDLIFE CLEARANCE,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=127670543,3660.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=127666458&refType=caf&uuid=f1a9c115-3b57-498e-a817-4c6e75a78be0&version=1.0,,7310.0
127429069,New,WL/LA/Solarpower/538375/2025,2025-05-20T10:15:19.809+00:00,,,49.9,6600.0,"Electric Project Division, PDC ,choglamsar leh ",,Wildlife clearance form,,,,"Solar Power project Tebla thang, tirith Nubra",LADAKH,Nubra,Diskit,,,,Hybrid,49.9,0.0,49.9,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-16T09:40:20.962+00:00,,,,,,,,,,000929,"Solar Power Project at Tebla Thang, Nubra , Leh Ladakh",Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=127429069,93120.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=127177931&refType=caf&uuid=e0d0a0ce-fe53-4343-a208-cfa97cf71c66&version=1.0,,26800.0
126927008,New,WL/LA/DEF/537609/2025,2025-05-14T10:19:17.003+00:00,,,0.51,137.1829,Ministry of Defense,,Wildlife clearance form,,,,HUME PIPE CULVERT AT MUDH,LADAKH,Leh,Mood,,,,Linear,0.0,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-05-14T11:18:36.207+00:00,,,,,,,,,,000902,WILDLIFE CLEARANCE (TO ENHANCE DEFENCE POTENTIAL AND ENSURE SAFE CROSSING OF VEHS AND TPS ON INDUS RIVER),Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=126927008,72.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=126872322&refType=caf&uuid=94f58f13-d618-41d7-90d5-45df8e76857f&version=1.0,,0.0
126543815,New,WL/LA/DEF/536928/2025,2025-05-08T13:34:40.069+00:00,,,20.3,2190.0,Ministry of Defense,,Wildlife clearance form,,,,ARMY CAMP (ARMY WORKSHOPAT KM 134,LADAKH,  ,NA,,,,Non - Linear,0.0,20.3,20.3,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-05-08T15:02:20.503+00:00,,,,,,,,,,"",WILDLIFE CLEARANCE,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=126543815,3660.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=126540689&refType=caf&uuid=b0badd20-169c-4d0f-98a0-3168bbf4e912&version=1.0,,7310.0
125790882,New,WL/LA/DEF/535682/2025,2025-04-28T15:34:25.671+00:00,,,9.46,1238.56,Ministry of Defense,,Wildlife clearance form,,,,ARTILLERY BATTERY ( KM- 148 ),LADAKH,Nubra,NA,,,,Non - Linear,0.0,9.46,9.46,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-04-28T16:12:08.892+00:00,,,,,,,,,,"",WILDLIFE CLEARANCE,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=125790882,3660.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=125790779&refType=caf&uuid=ff8508ed-bfd2-41cc-a08e-4922608156a4&version=1.0,,7310.0
125123096,New,WL/LA/DEF/534540/2025,2025-04-18T17:30:05.433+00:00,,,6.73,1393.0,Ministry of Defense,,Wildlife clearance form,,,,ARMY CAMP (KM-120) AT GALWAN,LADAKH,Nubra,NA,,,NA,Non - Linear,0.0,6.73,6.73,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-04-18T17:43:37.244+00:00,,,,,,,,,,"",WILDLIFE CLEARANCE,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=125123096,3660.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=125123039&refType=caf&uuid=c7ffa6f4-0d55-497b-abbf-d4519c415924&version=1.0,NA,7310.0
125122248,New,WL/LA/DEF/534538/2025,2025-04-18T17:06:10.313+00:00,,,0.45,40.0,Ministry of Defense,,Wildlife clearance form,,,,HELIPAD (KM-120),LADAKH,Nubra,NA,,,NA,Non - Linear,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-04-18T17:20:46.212+00:00,,,,,,,,,,"",WILDLIFE CLEARANCE,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=125122248,3660.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=125122200&refType=caf&uuid=cba60ec8-20c1-414a-a022-97883736f622&version=1.0,NA,7310.0
125121832,New,WL/LA/DEF/534536/2025,2025-04-18T16:40:00.990+00:00,,,4.4,829.49,Ministry of Defense,,Wildlife clearance form,,,,BRIGADE HEADQUARTER (KM-120),LADAKH,Nubra,NA,,,NA,Non - Linear,0.0,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-04-18T16:55:00.919+00:00,,,,,,,,,,"",WILDLIFE CLEARANCE,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=125121832,3660.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=125121765&refType=caf&uuid=2afce6ec-e1ac-4459-bd22-b2e8b270ae4f&version=1.0,NA,7310.0
124274501,New,WL/LA/DEF/532909/2025,2025-04-04T15:11:22.454+00:00,,,3.46,504.0,Ministry of Defense,,Wildlife clearance form,,,,GALWAN WAR MEMORIAL( KM -120),LADAKH,Nubra,NA,,,,Non - Linear,0.0,3.46,3.46,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-04-04T15:53:37.734+00:00,,,,,,,,,,"",WILDLIFE CLEARANCE,Leh,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=124274501,3660.0,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=124274377&refType=caf&uuid=0250178e-4498-44c8-906c-0358e72335d9&version=1.0,,7310.0
