ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,Cost Benefit Report PDF,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Employment (Construction),Plot Number,Project Description,KML URLs,Village Code,Employment (Operational),proposal_url,District
132715950,New,SIA/DN/INFRA2/545838/2025,2025-07-24T10:10:30.490+00:00,,Proposal Accepted and Referred to SEAC,1.0275,9231.0,FORTUNE DREAM-CON PRIVATE LIMITED,,Environment clearance form,TOR,B2,Building / Construction ,Proposed Residential cum Commercial Project Fortune World 2 by M/s. Fortune Dream Con Pvt. Ltd.,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Daman,KATHRA,,CF/UTEAC/DNH-DD/2025/18,,Non - Linear,1.0275,0.0,1.0275,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Not applicable,NO,NO,NO,2025-07-24T10:44:58.026+00:00,,,,,,,,,,,,6950.0,,Proposed Residential cum Commercial Project Fortune World 2 by M/s. Fortune Dream Con Pvt. Ltd. having 248 residential flats and 20 shops,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132715452&refType=caf&uuid=e21c05f0-844c-4441-8488-a194f13d4a93&version=1.0,0,2820.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132715950,Daman
132424595,New,FP/DN/ROAD/545439/2025,2025-07-20T07:34:26.484+00:00,,Pending at DFO for Scrutiny and Recommendation,0.0185,9505.0,HITESHKUMAR DHIRAJLAL DHUKA,,Forest clearance form,,,,Diversion of PRF Land for Strengthening and Widening of NH-251 from 11.000 to Km. 22.770 in Diu (Ch. 20+458 to Ch.20+500),THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,Zolawadi,,,,Linear,0.0,0.0185,0.0185,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-30T04:39:52.159+00:00,,,Degraded Forest Land,true,FORT ROAD PWD OFFICE DIU,,38,Individual,Executive Engineer,,38,70.0,,Strengthening and widening of NH-251 from 11.000 to Km. 22.770 in Diu (Ch. 20+458 to Ch.20+500),https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132424521&refType=caf&uuid=d9f1fa4e-4be4-4e54-ab2d-5bfda283bef1&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=132424521&refType=FC&uuid=e4d28b0c-8932-43b1-8fcd-5c66fa3d1415&version=1.0,524908,780.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132424595,Diu
132424150,New,FP/DN/ROAD/545437/2025,2025-07-20T07:03:18.616+00:00,,Pending at DFO for Scrutiny and Recommendation,0.2175,7456.0,HITESHKUMAR DHIRAJLAL DHUKA,,Forest clearance form,,,,"Diversion of PRF Land for Widening of Village Road in Dagachi, Diu. (Ch. 0+330 to Ch. 0+850)",THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,BUCHURWADA,,,,Linear,0.0,0.2175,0.2175,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-30T04:48:47.739+00:00,,,Degraded Forest Land,true,FORT ROAD PWD OFFICE DIU,,38,Individual,Executive Engineer,,38,210.0,,"Widening of Village Road in Dagachi, Diu. (Ch. 0+330 to Ch. 0+850)",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132423694&refType=caf&uuid=415df80a-04f4-4253-bff0-1c6d098cafa0&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=132423694&refType=FC&uuid=adceb2f3-d8ed-4287-be41-9f0db97a4c4a&version=1.0,524908,780.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132424150,Diu
132336409,Expansion,SIA/DN/INFRA2/545263/2025,2025-07-18T09:19:19.405+00:00,,Proposal Accepted and Referred to SEAC,0.4113,5989.0,M & P Developers,Precitech Laboratories Private Limited (formerly known as Precitech Laboratories),Environment clearance form,TOR,B2,Building / Construction ,M & P Developers,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,SILVASSA,,CF/UTEAC/DNH-DD/2025/19,Survey no. 282/1 & 285/2,Non - Linear,0.4113,0.0,0.4113,1.0575,0.0,1.0575,1286.0,4703.0,0,0,0,NO,Not Applicable,NO,NO,NO,2025-07-26T08:03:50.987+00:00,,,,,,,,,,,,2270.0,Survey no. 282/1 & 285/2,Construction Residential cum Commercial Project by M&P Developers,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132128779&refType=caf&uuid=eb192bb4-b274-4ae9-a961-1cc0985ae633&version=1.0,802639,10950.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132336409,Dadra & Nagar Haveli
131362779,New,SIA/DN/INFRA2/543553/2025,2025-07-03T05:54:04.639+00:00,,Proposal Accepted and Referred to SEAC,3.5542,27067.0,r r  kabel limited,Unistar Environment & Research Labs Pvt. Ltd.,Environment clearance form,TOR,B2,Building / Construction ,"M/s. R. R. Kabel Limited, (Unit-3)",THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,SAILI,,CF/UTEAC/DNH-DD/2025/20,"Survey No. 78/2, 78/3 & 78/1/2, Village - Karad, Rakholi",Hybrid,3.5542,0.0,3.5542,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-03T13:02:58.165+00:00,,,,,,,,,,,,62150.0,"Survey No. 78/2, 78/3 & 78/1/2, Village - Karad, Rakholi","The new proposed  Building and Construction Projects of Industrial Purpose in Category- 8(a) OF ;“M/s. R.R. Kabel Limited, (Unit-3)”;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131212894&refType=caf&uuid=61e03bb2-b5ef-4f1f-8adc-e264bb0add8d&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131320792&refType=caf&uuid=788b9fee-2ff1-4f17-881b-d504713c40fb&version=1.0,524949,124350.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131362779,Dadra & Nagar Haveli
131330214,Expansion,SIA/DN/INFRA2/543528/2025,2025-07-02T13:24:19.250+00:00,,Proposal Accepted and Referred to SEAC,0.882,7384.4,JN INFRA,,Environment clearance form,TOR,B2,Building / Construction ,Proposed Residential cum Commercial Project Horizon City by JN Infra,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,SILVASSA,,CF/UTEAC/DNH-DD/2025/17,,Non - Linear,0.882,0.0,0.882,0.0,0.0,0.0,738.4,6646.0,0,0,0,NO,Not Applicable,NO,NO,NO,2025-07-03T06:25:28.491+00:00,,,,,,,,,,,,6950.0,,Horizon City – Residential cum Commercial Building Construction Project by JN Infra having 404 residential flats and 60 Shops,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131320336&refType=caf&uuid=31b49750-a3b1-4137-8d58-946c85d3bfb9&version=1.0,802639,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131330214,Dadra & Nagar Haveli
131140902,New,SIA/DN/INFRA2/543227/2025,2025-06-30T12:14:17.143+00:00,,Proposal Accepted and Referred to SEAC,3.3361,22519.0,bLUE sTAR lIMITED,Ramans Enviro Services Pvt. Ltd.,Environment clearance form,TOR,B2,Building / Construction ,Expansion of Factory Building by Blue Star Limited.,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,Dadra (CT),,CF/UTEAC/DNH-DD/2025/16,Survey no. 265/2 (new survey no. 1106),Non - Linear,3.3361,0.0,3.3361,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-05T11:54:33.768+00:00,,,,,,,,,,,,108000.0,Survey no. 265/2 (new survey no. 1106),Proposed Factory building construction project having built-up area:;Existing: 15525.492 sq.m.;Proposed Built-up area for expansion: 35224.09 sq.m.;Project land area : 33361 Sq. m.,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131136878&refType=caf&uuid=41414724-0f41-48a5-8539-0eae7c56b83c&version=1.0,524997,6022500.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131140902,Dadra & Nagar Haveli
130267912,Expansion,SIA/DN/INFRA2/542017/2025,2025-06-19T06:20:17.261+00:00,,Proposal Accepted and Referred to SEAC,2.0108,9638.0, ROYAL ENTERPRISE,,Environment clearance form,TOR,B2,Building / Construction ,Proposed Residential cum Commercial Building Construction Project by Royal Enterprise,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,SILVASSA,,CF/UTEAC/DNH-DD/2025/13,,Hybrid,2.0108,0.0,2.0108,0.0,0.0,0.0,9172.0,466.0,0,0,0,NO,Not Applicable,NO,NO,NO,2025-06-19T07:00:36.370+00:00,,,,,,,,,,,,6950.0,,Proposed Residential cum Commercial Building Construction Project by Royal Enterprise having residential flats 616 and 13 shops,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130266585&refType=caf&uuid=649a9497-8e24-4bb3-8789-5c0257cbed67&version=1.0,802639,2820.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130267912,Dadra & Nagar Haveli
130061461,New,SIA/DN/IND1/541591/2025,2025-06-16T11:46:29.302+00:00,,ADS Raised,8.319,32435.9, POLYCAB INDIA LIMITED,,Environment clearance form,EC,B1,,POLYCAB INDIA LIMITED,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Daman,KACHGAM,,CF/UTEAC/DNH-DD/2025/14,,Hybrid,8.319,0.0,8.319,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-21T06:11:02.117+00:00,,,,,,,,,,,,12050.0,,"M/s. Polycab India Limited Located at Sr. No. 377/2, At Village: Kachigam Dist. Daman U.T. of Dadra & Nagar Haveli, Daman & Diu. Unit will be willing to manufacture Aluminum Road-EC Grade & Aluminum Conductor. Total production capacity will be 23,100 MT/Month. ",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=111835357&refType=caf&uuid=2e951db4-52e6-49ca-b538-e8e06dee483c&version=1.0,524931,219050.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=130061461,Daman
129766987,New,FP/DN/ROAD/541097/2025,2025-06-11T15:57:36.205+00:00,,Pending at UA for DFO EDS Reply,1.7357,537.0,EXECUTIVE ENGINEER PWD III IRRIGATION DISTRICT PANCHAYAT DADRA AND NAGAR HAVELI,,Forest clearance form,,,,Diversion of RF/PF land for Upgradation and Widening of existing road from Kaucha Patelpada to Ranpada up to Gujarat Border and for Construction of an approach road from Kauncha WTP to Smashan.,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,KAUNCHA,,,,Linear,0.0,1.7357,1.7357,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-28T18:30:00.000+00:00,,,Degraded Forest Land,true,"Office of The Executive Engineer, PWD-III (IRRIGATION),;Near Government Housing Complex, Silvassa ",Silvassa,38,Central Government (Department/Autonomous body),Executive Engineer,Silvassa,38,1550.0,,Upgradation and widening of existing road from Kaucha Patelpada to Ranpada up to Gujarat Border and for Construction of an approach road from Kauncha WTP to Smashan.,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=129766783&refType=caf&uuid=3d58cf7c-d6aa-49d5-9fa0-67e7b66fac2b&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=129766783&refType=FC&uuid=d91cbd51-eeae-44dd-b49a-c3bf141b2eac&version=1.0,524973,465.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=129766987,Dadra & Nagar Haveli
126471325,New,FP/DN/PWR_TRANS/536803/2025,2025-05-07T15:01:38.123+00:00,,Pending at Nodal Officer due to Demand Modification Request By UA,0.0403,1.0,MAHESH NAIR,,Forest clearance form,,,,"Diversion of Reserved Forest Land for LT Electric Connection to USO 4G BSNL Tower sites in Goratpada, Mandoni and Ghodbari in RF area under GOI Saturation Project in Dadra & Nagar Haveli.",THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,Goratpada,,,,Linear,0.0,0.0403,0.0403,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-06-08T18:30:00.000+00:00,,,Degraded Forest Land,true,"General Manager Telecom, BSNL Bhavan, Thiruvalla ",Silvassa,38,"Central PSU (eg. NHAI, AAI, NTP, CIL, SAIL)","Nandkumar Kamble, AGM, Rural - 2, BSNL Vapi.",Silvassa,38,26.0,,"LT Electric Connection to USO 4G BSNL Tower sites in Goratpada, Mandoni and Ghodbari in RF area under GOI Saturation Project in Dadra & Nagar Haveli.;;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=126471113&refType=caf&uuid=2a0704fa-a7b8-47bd-a13a-3325e4776cbd&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=126471113&refType=FC&uuid=ee3e9e1f-54e6-438e-a308-2b47b7559844&version=1.0,524967,750.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=126471325,Dadra & Nagar Haveli
