ID,Project Description,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Forest Clearance Present Owners,KML URLs,District,Employment (Operational),Village Code,Employment (Construction),Plot Number,proposal_url
7135445,"An animal carcass incineration plant is a facility specifically designed for the disposal of animal carcasses through incineration. These facilities are often used for the proper disposal of animal remains from farms, slaughterhouses, veterinary clinics, research facilities, and other places where animals may die or need to be euthanized",New,FP/CH/OTHERS/438237/2023,2023-07-27T05:58:19.640+00:00,,DELISTED_BY_SYSTEM,0.4,179.0,CHANDIGARH SMART CITY LIMITED,,Forest clearance form,,,,"Animal Carcass Plant, Chandigarh",CHANDIGARH,Chandigarh,CHANDIGARH,,,,Non - Linear,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-02-05T18:30:00.000+00:00,Non-forest Land,true,"Building no 1,2&3, sector 17 A",,4,Others,deputy manager,,4,MCC,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=7064690&refType=caf&uuid=7964c968-27e8-41ec-bea6-c12363ed47ac&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=59061&refId=7064690&refType=FC&uuid=72ae49b3-1f39-4147-81e3-f9222a880f83&version=1.1;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=7064690&refType=FC&uuid=53a9163c-0a47-4f36-9232-0ef08633aea2&version=1.3,Chandigarh,9002.0,0,195.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=7135445
8080993,The present project is for the installation of a 550 TPD integrated solid waste management system at Dadu Majra. The location is a notified solid waste dumping site in Chandigarh.,New,IA/CH/INFRA2/440842/2023,2023-08-18T10:55:14.760+00:00,2023-12-21T11:47:52.083+00:00,ToR Granted,18.255,40000.0,MUNICIPAL CORPORATION CHANDIGARH,CSIR- National Environmental Engineering Research Institute,Environment clearance form,TOR,A,Common Municipal Solid Waste Management Facility (CMSWMF),"Integrated Solid Waste Management System at Dadu Majra, Chandigarh",CHANDIGARH,Chandigarh,DADU MAJRA,21-27/2023-IA.III,,"18//24/1,25/2;   23//3/1/1,3/1/3;  23//3/2,4/1,4/3,5/2/2;  24//1/2,2/1,3/2,4/1,5/2,6/1,6/2,7,9.8,10,11/1,12,13,14,15,16,17,18,19/1,20/1,23/1/3,24/1,25/2;   25//1/2/1, 1/2/2, 2/1,3/2, 7/1/2, 8/2, 9,10,11,12/1, 12/2, 13,14/1, 17/2,18,19,20,21, 22,23,24/1,25/1,;   28//1/1,2,3,4,5/1,6/2,7,.8/1,9/1,14/1/1,14/2/3,14/3/1,14/4/1,15/1;  29//5/3",Non - Linear,18.255,0.0,18.255,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,The present site was allotted by the government for solid waste dumping in 1988,YES,NO,NO,2023-08-18T11:25:53.011+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=8080014&refType=caf&uuid=b8e62380-04ae-45bc-a4f7-a243c87cd58d&version=1.0,Chandigarh,1095000.0,0,87600.0,"18//24/1,25/2;   23//3/1/1,3/1/3;  23//3/2,4/1,4/3,5/2/2;  24//1/2,2/1,3/2,4/1,5/2,6/1,6/2,7,9.8,10,11/1,12,13,14,15,16,17,18,19/1,20/1,23/1/3,24/1,25/2;   25//1/2/1, 1/2/2, 2/1,3/2, 7/1/2, 8/2, 9,10,11,12/1, 12/2, 13,14/1, 17/2,18,19,20,21, 22,23,24/1,25/1,;   28//1/1,2,3,4,5/1,6/2,7,.8/1,9/1,14/1/1,14/2/3,14/3/1,14/4/1,15/1;  29//5/3",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=8080993
23513222,"PCL Gateway is a Mega Integrated Township of 210 Acres in the foothills of Shivalik. It is the part of youngest city of India and is 0 km from Chandigarh with its major highlight- Yadwindra International Cricket Stadium cum Sports Complex which is adjacent to this Project. The Project is self-sufficient with its own Residential & Commercial Complexes, various Parks, Hospitals, and Institutional Complexes etc. All these factors and highlights, a dedicated team leader and an obedient team gives PCL an edge over other similar projects. It is the location & team behind any Project which matters the most. PCL offers you plots, villas, flats, commercials, SCO sites, bay shops at Zero km on the boundary of Chandigarh. This township shares 1.5 km boundary with existing Chandigarh.",New,WL/CH/SRY/452149/2023,2023-11-11T17:12:03.331+00:00,,,155.9,14326.9855,INNOVATIVE HOUSING AND INFRASTRUCTURE PRIVATE LIMITED,,Wildlife clearance form,,,,PCL Gateway,CHANDIGARH,SAS Nagar (Mohali),JHAMPUR,,,,Linear,0.0,155.9,155.9,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2023-11-11T17:14:10.024+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=23513101&refType=caf&uuid=fa24692d-69d0-4400-ac48-4b07ae80c4b9&version=1.0,Sahibzada Ajit Singh Nag*,1210.0,39162,340.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=23513222
25840095,"This is residential accommodation project falls under category 8(a) located at Madhya Marg, Sector 12, Chandigarh 160012 proposed by Postgraduate Institute of Medical Education and Research.",New,SIA/CH/INFRA2/452841/2023,2023-11-21T06:05:19.735+00:00,,,2.72,6713.0,POST GRADUATE INSTITUTE OF MEDICAL EDUCATION AND RESEARCH CHANDIGARH,Shivalik Solid Waste Management Limited,Environment clearance form,TOR,B2,Building / Construction,"Proposed 64 Nos. Type-III and 64 Nos. Type-V [2 Blocks - (B+G+5) & 1 Block - (B+G+3) each] Residential Accommodation i/c internal & external water supply, sanitary installations, Drainage & Development works, Horticulture work and electrical Installations at PGIMER campus, Sector-12, Chandigarh by Department of Hospital Engineering & Planning.",CHANDIGARH,Chandigarh,CHANDIGARH,,,,Hybrid,2.72,0.0,2.72,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-01-04T11:33:05.687+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=25609983&refType=caf&uuid=023a878f-2091-4e5c-8494-5ebd2e892b77&version=1.0,Chandigarh,10950.0,0,12200.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=25840095
31489848,COMMERCIAL COMPLEX,New,SIA/CH/INFRA2/455379/2023,2023-12-13T07:18:17.437+00:00,,Proposal Accepted and Referred to SEAC,0.447,2000.0,RSA MOTORS PRIVATE LIMITED,,Application for Transfer of EC- Form-7,OTHER,B2,,BERKELEY SQUARE,CHANDIGARH,Chandigarh,CHANDIGARH,,SA-ED-2015/EC/107,"Plot no.24, Industrial Area, Phase I",Linear,0.447,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,YES,NO,2023-12-26T07:15:06.852+00:00,,,"PLOT NO.24, INDUSTRIAL AREA, PHASE I, CHANDIGARH",CHANDIGARH,4,Private Limited,DIRECTOR,CHANDIGARH,4,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=31488117&refType=caf&uuid=1f5fc815-9386-4ab9-8578-15fb6d42daa7&version=1.0,Chandigarh,0.0,0,0.0,"Plot no.24, Industrial Area, Phase I",https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=31489848
32522790,The project envisages the construction of Type III (64 No.) & Type V (64 No.) Residential accommodation.,Expansion,SIA/CH/INFRA2/455930/2023,2023-12-18T09:59:22.099+00:00,,DELISTED_BY_SYSTEM,112.0,104844.0,POST GRADUATE INSTITUTE OF MEDICAL EDUCATION AND RESEARCH CHANDIGARH,Shivalik Solid Waste Management Limited,Environment clearance form,TOR,B1,Townships/ Area Development Projects / Rehabilitation Centres,"Expansion of PGIMER (Postgraduate Institute of Medical Education and Research) Chandigarh by adding Proposed 64 Nos. Type-III and 64 Nos. Type-V [2 Blocks - (B+G+5) & 1 Block - (B+G+3) each] Residential Accommodation i/c internal & external water supply, sanitary installations, Drainage & Development works, Horticulture work and electrical Installations by Department of Hospital Engineering & Planning.",CHANDIGARH,Chandigarh,CHANDIGARH,,1/5/ED/23/132,,Hybrid,112.0,0.0,112.0,0.0,0.0,0.0,98131.0,6713.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-03-05T10:51:02.036+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=32521627&refType=caf&uuid=f9d839b3-ec9c-4297-bbb0-ba20f2c9c95e&version=1.1,Chandigarh,5475.0,0,23000.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=32522790
39474410,Additional land allocated by Chandigarh Administration for Petrol Pump at Sector 42 Chandigarh,Expansion,FP/CH/PetrolPump/459131/2024,2024-01-18T06:38:02.839+00:00,,DELISTED_BY_SYSTEM,0.0,400000.0,Indian Oil Corporation Limited (IOCL),,Forest clearance form,,,,Retail Outlet (Petrol Pump),CHANDIGARH,Chandigarh,CHANDIGARH,,,INDIAN OIL PETROL PUMP SEC 42 CHANDIGARH,Linear,0.0,0.0,0.0,0.0,0.0227,0.0227,0.0,400000.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-01-18T07:17:25.002+00:00,Non-forest Land,true,"SCO 35-36,MADHYA MARG,SECTOR-7,CHANDIGARH-160019",CHANDIGARH,4,"Central PSU (eg. NHAI, AAI, NTP, CIL, SAIL)",SDRSM,CHANDIGARH,4,ESTATE OFFICE CHANDIGARH,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=39473549&refType=caf&uuid=c033f437-2b63-4d37-b25d-fad3716a99e7&version=1.1;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=59061&refId=39473549&refType=FC&uuid=c0a06605-462d-48f2-9d1e-db2604608972&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=39473549&refType=FC&uuid=2329f6d6-c46b-4d89-8864-89b60dc25562&version=1.1,Chandigarh,11680.0,0,11688.0,INDIAN OIL PETROL PUMP SEC 42 CHANDIGARH,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=39474410
44477592,"The project envisages the construction of 4BHK, 5BHK Residential Colony.",New,WL/CH/INFRA/461126/2024,2024-02-06T06:14:57.721+00:00,,,1.1,500000000.0,SHIVA LAND PROMOTERS AND BUILDERS,,Wildlife clearance form,,,,Proposed Residential colony “Sky Touch” by M/s Shiva Land Promoters & Builders.,CHANDIGARH,Dera Bassi,DHAKAULI,,,,Hybrid,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2024-02-16T04:04:41.558+00:00,,,,,,,,,,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=41315715&refType=caf&uuid=bc60025e-fad2-4598-ab0f-73a4387ddddc&version=1.0,Sahibzada Ajit Singh Nag*,7320.0,0,109550.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=44477592
64652628,"This is a hotel project located at plot no. 33 & 34, Industrial Area Phase-II, Chandigarh",New,SIA/CH/INFRA2/471106/2024,2024-04-30T11:20:28.646+00:00,,DELISTED_BY_SYSTEM,0.8941,21000.0,JOY HOTEL AND RESORTS PRIVATE LIMITED,,Application for Transfer of EC- Form-7,OTHER,B2,,Sheraton Chandigarh Hotel,CHANDIGARH,Chandigarh,CHANDIGARH,,No. 21-33/2009-IA.III,,Non - Linear,0.8941,0.0,0.8941,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,YES,NO,2024-04-30T12:43:11.603+00:00,,,"Plot no.- 33-34,Industrial Area, Phase-II, Chandigarh",,4,Private Limited,Authorized Signatory,,4,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=64645153&refType=caf&uuid=3372ddbb-6df7-4cb4-b4e6-55574aebba6a&version=1.0,Chandigarh,1071275.0,0,0.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=64652628
80406607,"This is a hotel project located at plot no. 33 & 34, Industrial Area Phase-II, Chandigarh",New,IA/CH/INFRA2/485281/2024,2024-07-01T12:26:30.744+00:00,,DELISTED_BY_SYSTEM,0.8941,21000.0,JOY HOTEL AND RESORTS PRIVATE LIMITED,,Application for Transfer of EC- Form-7,OTHER,B2,,Sheraton Chandigarh Hotel,CHANDIGARH,Chandigarh,CHANDIGARH,No. 21-33/2009-IA.III,,,Non - Linear,0.8941,0.0,0.8941,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,YES,NO,2024-09-19T11:11:52.336+00:00,,,"Plot no.- 33-34,Industrial Area, Phase-II, Chandigarh",,4,Private Limited,Owner,,4,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=79174295&refType=caf&uuid=e3df2210-63d0-4e9d-a8b9-b54a48186344&version=1.0,Chandigarh,1071275.0,0,0.0,,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=80406607
