ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,Cost Benefit Report PDF,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Forest Clearance Present Owners,Village Code,Employment (Construction),proposal_url,Plot Number,KML URLs,District,Project Description,Employment (Operational)
133894989,New,FP/DL/WATER/547874/2025,2025-08-12T09:14:35.932+00:00,,Pending at DFO for Scrutiny and Recommendation,0.001,229.67,rajesh kumar bansal,,Forest clearance form,,,,Installation of 10 nos tube wells in Animal Husbandry Land to supply water in CAPFIMS Maidangarhi New Delhi,DELHI,Saket,SAT BERI,,,,Non - Linear,0.0001,0.0009,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-12T09:42:20.510+00:00,,,,false,"EE Water Project-VIII;A-Building, Varunalaya Jhandewalan;New Delhi-110005",,7,Individual,Executive Engineer,,7,,64063,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133894989,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133821270&refType=caf&uuid=e61e810f-c940-4929-bad9-cbfa0d92712d&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=133821270&refType=FC&uuid=927e907e-773d-44b4-97e1-a1cc80afc911&version=1.0,South,This work involved installation of 10 nos tube wells and line network to supply water to the Forest area and some of the extracted water was to be diverted to CAPFIMS AIIMS campus. The District Level Advisory Committee had approved the project on 10.11.2023. These 10 nos tube wells and network has been installed and commissioned. ,3650.0
133690108,Expansion,IA/DL/INFRA2/547493/2025,2025-08-08T06:57:46.702+00:00,,Under Examination,1.006,36000.0,ozar organic llp,Ind Tech House Consult ,Environment clearance form,TOR,B2,Building / Construction ,"Proposed Expansion of Group Housing Project at Plot No. Pkt 01 (a) Sector 32, Pocket- 1/Block – B admeasuring 10060 Sq. Mtrs. Sector-32, Rohini, New Delhi.",DELHI,Narela,Pehlad Pur Bangar (CT),,,"Plot No. Pkt 01 (a) Sector 32, Pocket- 1/Block – B ",Non - Linear,1.006,0.0,1.006,0.0,0.0,0.0,29500.0,6500.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-08T12:28:56.385+00:00,,,,,,,,,,,,,63918,60080.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=133690108,"Plot No. Pkt 01 (a) Sector 32, Pocket- 1/Block – B ",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=133687460&refType=caf&uuid=546a4c92-23bf-42f1-bf84-3615aac6307e&version=1.0,North,"M/s Ozar Organic Llp proposes Expansion of Group Housing Project at Plot No. Pkt 01 (a) Sector 32, Pocket- 1/Block – B admeasuring 10060 Sq. Mtrs. Sector-32, Rohini, New Delhi. ;;Earlier Environment Clearance has been granted to the project by MoEFF&CC vide EC Identification No. EC24C3801DL5283141N dated 11.12.2024 for plot area 10060 m2 and builtup area 40849 m2. Now, as the built-up area is increasing from 40849 sqm to 64308.84 sqm hence, we are undergoing expansion of project. The total plot area is 10060 m2 and builtup area will be 64308.84 m2",27020.0
132683466,Expansion,IA/DL/INFRA2/545790/2025,2025-07-24T06:04:24.715+00:00,,Under Examination,2.578,64982.0,DLF Promenade Limited,Perfact Enviro Solutions Pvt. Ltd. ,Environment clearance form,TOR,B2,Building / Construction ,“Expansion of the shopping mall” ,DELHI,Vasant Vihar,MASOODPUR,,,Plot 3,Non - Linear,2.578,0.0,2.578,0.0,0.0,0.0,55782.0,9200.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-29T11:23:30.208+00:00,,,,,,,,,,,,,0,219000.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132683466,Plot 3,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132674482&refType=caf&uuid=2742e7d5-8ade-470f-b7e2-496781cbe361&version=1.0,New Delhi,"Earlier Environment Clearance as granted for Plot area 25,780 sqm. Now due to the availability of Extra FAR under UBBL Bye laws we ore proposing expansion where he plot area will remain the same and the built up area of the project will increase from 73935.789 sqm to 1,15,647.002 sqm",4894650.0
132357959,Expansion,IA/DL/INFRA2/545304/2025,2025-07-18T11:32:55.303+00:00,,Under Examination,15300.0,480.5,DLF CYBER CITY DEVELOPERS LIMITED,Perfact Enviro Solutions Pvt. Ltd. ,Environment clearance form,TOR,B2,Building / Construction ,Expansion of shopping mall ,DELHI,Vasant Vihar,MASOODPUR,,,-,Non - Linear,15300.0,0.0,15300.0,0.0,0.0,0.0,396.5,84.0,0,0,0,NO,Not applicable as the project or activity is site specific,NO,NO,NO,2025-07-23T10:01:33.438+00:00,,,,,,,,,,,,,0,219000.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132357959,-,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132346124&refType=caf&uuid=f5b05f94-e559-46aa-a687-09087a04089f&version=1.0,New Delhi,"Earlier Environment Clearance as granted for Plot area 15300 sqm. Now due to the availability of Extra FAR under UBBL Bye laws we are proposing expansion where he plot area will remain the same and the built up area of the project will increase from 63,037.12 sqm to 91,386.85 sqm",2857950.0
132107245,New,IA/DL/INFRA2/544798/2025,2025-07-15T06:41:10.410+00:00,,Under Examination,2.5171,36454.0,"Delhi Transport Corporation, Delhi (DTC), Govt. of Delhi",,Environment clearance form,TOR,B2,Building / Construction ,"Construction & Development of Hari Nagar DTC Bus Depot I & II at Hari Nagar, Delhi by Delhi Transport Corporation (DTC)",DELHI,Rajouri Garden,TIHAR,,,,Non - Linear,2.5171,0.0,2.5171,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-16T06:56:45.221+00:00,,,,,,,,,,,,,0,6130.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=132107245,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=132097843&refType=caf&uuid=ed2a9d8f-3bab-4dc4-a2a4-447f9c2aa6bf&version=1.0,West,"The proposed project is for Construction & Development of Hari Nagar DTC Bus Depot I & II. Plot area of the proposed Project is 25,171.47 m2 (6.22 acres) with built-up area of 70,397.81 m2. The development aims to create a self-sustainable model to use the available+ road frontage and maximize the potential of commercial activity on the site for multi-level bus parking for 384 buses, Retail shops, Commercial offices and DTC offices.",13716.0
131891518,Expansion,IA/DL/THE/544398/2025,2025-07-10T12:19:09.399+00:00,,Proposal Accepted and Referred to EAC,6.07,90000.0,TEHKHAND WASTE TO ELECTRICITY PROJECT LIMITED,Perfact Enviro Solutions Pvt. Ltd. ,Environment clearance form,TOR,A,Thermal Power Plants,"“Proposed Expansion of Existing Waste to Energy Plant up to 45 MW”, at adjacent DTC Tehkhand Depot, Maa Anandmai Marg, New Delhi-110020 by M/s Tehkhand Waste to Electricity Project Limited",DELHI,Kalkaji,TEHKHAND,J-13012/03/2017-IA.I(T),,"",Non - Linear,6.07,0.0,6.07,0.0,0.0,0.0,46500.0,43500.0,0,0,0,NO,"Space provision for the expansion project was already kept in the layout during implementation of existing project. Hence, no alternative analysis is required for the proposed expansion project.",NO,YES,NO,2025-07-21T10:29:34.806+00:00,,,,,,,,,,,,,0,191260.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131891518,"",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131885496&refType=caf&uuid=1cd1281d-8bd6-4018-8001-33109a854578&version=1.0,South East,"M/s TEHKHAND WASTE TO ELECTRICITY PROJECT LIMITED proposed to expand the existing 25 MW Wsate to Energy Plant by 20 MW with total plant capacity up to 45 MW. Municipal Solid Waste in South Delhi is collected by MCD from different sources of generation such as residential, commercial, institutional, street sweeping and markets, function halls, cinema halls etc. The existing plant produces 25 MW of electricity. After expansion, the total capacity of plant will be up to 45 MW. ;The short description of the proposed project is as follows: ;•	Proposed Fuel: Refuse derived fuel prepared from MSW. ;•	Technology: Forward feed reciprocating grate, Ranking Cycle base.;•	After expansion, plant’s processing capacity: 3000±20% TPD of MSW (existing: 2000±20% TPD and proposed expansion: 1000±20% TPD). ;•	After expansion, plant’s production capacity: Up to 45 MW (existing: 25 MW and expansion: 20 MW).",742045.0
131738027,Expansion,IA/DL/INFRA2/544162/2025,2025-07-08T11:25:49.431+00:00,,Under Examination,61.7347,1568092.0, ALL INDIA INSTITUTE OF MEDICAL SCIENCE,Ind Tech House Consult ,Environment clearance form,TOR,B1,Townships/ Area Development Projects / Rehabilitation Centres,"Proposed Expansion of Redevelopment of All India Institute of Medical Sciences (AIIMS), New Delhi by All India Institute of Medical Sciences, New Delhi",DELHI,Defence Colony,KOTLA MUBARAKPUR,,,,Non - Linear,61.7347,0.0,61.7347,0.0,0.0,0.0,1550000.0,18092.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-08T14:17:27.279+00:00,,,,,,,,,,,,,0,15200.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131738027,,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131734345&refType=caf&uuid=5f7a873e-b485-4bde-aca0-8c28fa6a6a54&version=1.0,South East,"Earlier EC for Redevelopment of All India Institute of Medical Sciences (AIIMS), New Delhi was obtained vide EC Identification No. - EC22B039DL162848 dated 01/09/2022. In Redevelopment proposal we are proposing one critical care unit block having built-up area 28377.3 sqm Due to proposed critical care unit block overall built-up area will be 19,03,858.99 sqm. ",36700.0
131706269,New,IA/DL/INFRA2/544120/2025,2025-07-08T07:49:01.454+00:00,,Under Examination,2.578,358.0,DLF Promenade Limited,,Application for Transfer of EC- Form-7,OTHER,B2,,"Shopping Mall located at Plot No. 3, Vasant Kunj, New Delhi ",DELHI,Vasant Vihar,MASOODPUR,3-16/2006-IA.III,,plot no-3,Hybrid,2.578,0.0,2.578,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-08T08:18:15.804+00:00,,,,,"DLF Centre, 9th Floor, Sansad Marg, Parliament Street, New Delhi-110001 ",Gurugram,6,Private Limited,Building Manager,,7,,0,0.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131706269,plot no-3,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=130582613&refType=caf&uuid=5c6c3ae2-e446-46a8-867f-96907bae44bd&version=1.0,New Delhi,Shopping Mall,0.0
131687002,New,IA/DL/IND2/544093/2025,2025-07-08T05:47:27.484+00:00,,,0.0082,1200000.0,OMKAR SINGH,,Environment clearance form,TOR,A,Grain based distilleries,ISSAPUR OIL MIL,DELHI,Najafgarh,ISSA PUR,,,pole no 968,Non - Linear,0.0041,0.0041,0.0082,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-07-08T06:06:55.276+00:00,,,,,,,,,,,,,64020,2.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131687002,pole no 968,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131683651&refType=caf&uuid=5e675011-a3a0-4da6-96dd-308e7da2c09f&version=1.0,South West,KACCHI GHANI OIL MANUFACTURE,0.0
131649187,New,FP/DL/OTHERS/544041/2025,2025-07-07T11:11:51.445+00:00,,Pending at DFO for Scrutiny and Recommendation,1.4521,20632.0, DELHI METRO RAIL CORPORATION LIMITED,,Forest clearance form,,,,Construction of Yuge Yugeen Bharat underground station under Phase-V(A) of Delhi MRTS.,DELHI,Chanakya Puri,NA,,,Pt. Pant Marg,Linear,0.7488,0.7033,1.4521,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-08-04T18:30:00.000+00:00,,,,false,"Metro Bhawan, Fire Brigade Lane, Bharakhambha Road, New Delhi ",,7,Joint Venture (Govt. + Govt.),Sr. General Manager/Land,,7,,0,87600.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=131649187,Pt. Pant Marg,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=131632026&refType=caf&uuid=07d10031-5a65-4e91-a185-5d86adea4c7c&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=131632026&refType=FC&uuid=683e9236-fa32-4419-9d9a-54f1500c9b4d&version=1.0,New Delhi,Construction of One no. Underground metro station namely Yuge Yugeen Bharat is proposed to be constructed on Pandit Pant Marg.,36520.0
